日期,数据类目,当期值(美元/吨),环比变化,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-11,印尼塔巴尼奥-中国广州,11.17,0.00,33,2024-07-11 00:00:00,1,0,2024-07-20 08:44:27,0,2024-07-20 08:44:27,,,
2024-07-11,澳大利亚纽卡斯尔-中国舟山,15.91,0.00,34,2024-07-11 00:00:00,1,0,2024-07-20 08:44:27,0,2024-07-20 08:44:27,,,
2024-07-11,印尼萨马林达-中国广州,7.71,0.10,35,2024-07-11 00:00:00,1,0,2024-07-20 08:44:27,0,2024-07-20 08:44:27,,,
2024-07-10,澳大利亚纽卡斯尔-中国舟山,15.89,-0.30,36,2024-07-10 00:00:00,1,0,2024-07-20 08:44:27,0,2024-07-20 08:44:27,,,
2024-07-10,印尼塔巴尼奥-中国南通,13.48,0.00,37,2024-07-10 00:00:00,1,0,2024-07-20 08:44:27,0,2024-07-20 08:44:27,,,
2024-07-10,印尼塔巴尼奥-中国广州,11.16,0.00,38,2024-07-10 00:00:00,1,0,2024-07-20 08:44:27,0,2024-07-20 08:44:27,,,
2024-07-10,澳大利亚海波因特-中国舟山,14.05,0.00,39,2024-07-10 00:00:00,1,0,2024-07-20 08:44:27,0,2024-07-20 08:44:27,,,
2024-07-10,印尼萨马林达-中国广州,7.65,0.10,40,2024-07-10 00:00:00,1,0,2024-07-20 08:44:27,0,2024-07-20 08:44:27,,,
2024-07-09,澳大利亚海波因特-中国舟山,14.05,0.00,41,2024-07-09 00:00:00,1,0,2024-07-20 08:44:27,0,2024-07-20 08:44:27,,,
2024-07-09,印尼萨马林达-中国广州,7.59,-0.10,42,2024-07-09 00:00:00,1,0,2024-07-20 08:44:27,0,2024-07-20 08:44:27,,,
2024-07-09,印尼塔巴尼奥-中国南通,13.47,-0.10,43,2024-07-09 00:00:00,1,0,2024-07-20 08:44:27,0,2024-07-20 08:44:27,,,
2024-07-09,澳大利亚纽卡斯尔-中国舟山,16.23,-0.10,44,2024-07-09 00:00:00,1,0,2024-07-20 08:44:27,0,2024-07-20 08:44:27,,,
2024-07-09,印尼塔巴尼奥-中国广州,11.20,-0.10,45,2024-07-09 00:00:00,1,0,2024-07-20 08:44:27,0,2024-07-20 08:44:27,,,
2024-07-08,澳大利亚海波因特-中国舟山,14.07,-0.10,46,2024-07-08 00:00:00,1,0,2024-07-20 08:44:27,0,2024-07-20 08:44:27,,,
2024-07-08,印尼萨马林达-中国广州,7.65,-0.10,47,2024-07-08 00:00:00,1,0,2024-07-20 08:44:27,0,2024-07-20 08:44:27,,,
2024-07-08,印尼塔巴尼奥-中国广州,11.26,0.00,48,2024-07-08 00:00:00,1,0,2024-07-20 08:44:27,0,2024-07-20 08:44:27,,,
2024-07-08,澳大利亚纽卡斯尔-中国舟山,16.37,-0.30,49,2024-07-08 00:00:00,1,0,2024-07-20 08:44:27,0,2024-07-20 08:44:27,,,
2024-07-08,印尼塔巴尼奥-中国南通,13.53,0.00,50,2024-07-08 00:00:00,1,0,2024-07-20 08:44:27,0,2024-07-20 08:44:27,,,
2024-07-05,印尼萨马林达-中国广州,7.77,-0.10,51,2024-07-05 00:00:00,1,0,2024-07-20 08:44:27,0,2024-07-20 08:44:27,,,
2024-07-05,印尼塔巴尼奥-中国广州,11.29,0.00,52,2024-07-05 00:00:00,1,0,2024-07-20 08:44:27,0,2024-07-20 08:44:27,,,
2024-07-05,澳大利亚海波因特-中国舟山,14.14,0.00,53,2024-07-05 00:00:00,1,0,2024-07-20 08:44:27,0,2024-07-20 08:44:27,,,
2024-07-05,印尼塔巴尼奥-中国南通,13.56,-0.10,54,2024-07-05 00:00:00,1,0,2024-07-20 08:44:27,0,2024-07-20 08:44:27,,,
2024-07-05,澳大利亚纽卡斯尔-中国舟山,16.65,-0.40,55,2024-07-05 00:00:00,1,0,2024-07-20 08:44:27,0,2024-07-20 08:44:27,,,
2024-07-04,澳大利亚海波因特-中国舟山,14.16,-0.10,56,2024-07-04 00:00:00,1,0,2024-07-20 08:44:27,0,2024-07-20 08:44:27,,,
2024-07-04,澳大利亚纽卡斯尔-中国舟山,17.04,-0.60,57,2024-07-04 00:00:00,1,0,2024-07-20 08:44:27,0,2024-07-20 08:44:27,,,
2024-07-04,印尼塔巴尼奥-中国广州,11.31,-0.10,58,2024-07-04 00:00:00,1,0,2024-07-20 08:44:27,0,2024-07-20 08:44:27,,,
2024-07-04,印尼塔巴尼奥-中国南通,13.62,-0.10,59,2024-07-04 00:00:00,1,0,2024-07-20 08:44:27,0,2024-07-20 08:44:27,,,
2024-07-04,印尼萨马林达-中国广州,7.88,-0.10,60,2024-07-04 00:00:00,1,0,2024-07-20 08:44:27,0,2024-07-20 08:44:27,,,
2024-07-03,印尼萨马林达-中国广州,7.95,-0.10,61,2024-07-03 00:00:00,1,0,2024-07-20 08:44:29,0,2024-07-20 08:44:29,,,
2024-07-03,印尼塔巴尼奥-中国南通,13.69,-0.10,62,2024-07-03 00:00:00,1,0,2024-07-20 08:44:29,0,2024-07-20 08:44:29,,,
2024-07-03,澳大利亚海波因特-中国舟山,14.23,-0.10,63,2024-07-03 00:00:00,1,0,2024-07-20 08:44:29,0,2024-07-20 08:44:29,,,
2024-07-03,印尼塔巴尼奥-中国广州,11.36,-0.10,64,2024-07-03 00:00:00,1,0,2024-07-20 08:44:29,0,2024-07-20 08:44:29,,,
2024-07-03,澳大利亚纽卡斯尔-中国舟山,17.66,0.00,65,2024-07-03 00:00:00,1,0,2024-07-20 08:44:29,0,2024-07-20 08:44:29,,,
2024-07-02,印尼萨马林达-中国广州,8.00,0.00,66,2024-07-02 00:00:00,1,0,2024-07-20 08:44:29,0,2024-07-20 08:44:29,,,
2024-07-02,印尼塔巴尼奥-中国南通,13.75,-0.10,67,2024-07-02 00:00:00,1,0,2024-07-20 08:44:29,0,2024-07-20 08:44:29,,,
2024-07-02,印尼塔巴尼奥-中国广州,11.43,-0.10,68,2024-07-02 00:00:00,1,0,2024-07-20 08:44:29,0,2024-07-20 08:44:29,,,
2024-07-02,澳大利亚海波因特-中国舟山,14.35,-0.10,69,2024-07-02 00:00:00,1,0,2024-07-20 08:44:29,0,2024-07-20 08:44:29,,,
2024-07-02,澳大利亚纽卡斯尔-中国舟山,17.63,0.80,70,2024-07-02 00:00:00,1,0,2024-07-20 08:44:29,0,2024-07-20 08:44:29,,,
2024-07-01,印尼塔巴尼奥-中国南通,13.87,-0.10,71,2024-07-01 00:00:00,1,0,2024-07-20 08:44:29,0,2024-07-20 08:44:29,,,
2024-07-01,澳大利亚海波因特-中国舟山,14.40,-0.10,72,2024-07-01 00:00:00,1,0,2024-07-20 08:44:29,0,2024-07-20 08:44:29,,,
2024-07-01,印尼塔巴尼奥-中国广州,11.56,0.00,73,2024-07-01 00:00:00,1,0,2024-07-20 08:44:29,0,2024-07-20 08:44:29,,,
2024-07-01,印尼萨马林达-中国广州,8.03,-0.10,74,2024-07-01 00:00:00,1,0,2024-07-20 08:44:29,0,2024-07-20 08:44:29,,,
2024-07-01,澳大利亚纽卡斯尔-中国舟山,16.83,0.10,75,2024-07-01 00:00:00,1,0,2024-07-20 08:44:29,0,2024-07-20 08:44:29,,,
2024-06-28,印尼塔巴尼奥-中国广州,11.60,0.00,76,2024-06-28 00:00:00,1,0,2024-07-20 08:44:29,0,2024-07-20 08:44:29,,,
2024-06-28,澳大利亚纽卡斯尔-中国舟山,16.70,0.20,77,2024-06-28 00:00:00,1,0,2024-07-20 08:44:29,0,2024-07-20 08:44:29,,,
2024-06-28,澳大利亚海波因特-中国舟山,14.48,-0.10,78,2024-06-28 00:00:00,1,0,2024-07-20 08:44:29,0,2024-07-20 08:44:29,,,
