时间,项目名称,累计值(万吨),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2025-07,供热耗用原煤,21594.00,-1.60,1,2025-07-31 00:00:00,1,0,2025-09-15 23:25:10,0,2025-09-15 23:25:10,,,
2025-06,供热耗用原煤,20076.00,-1.90,2,2025-06-30 00:00:00,1,0,2025-09-15 23:25:10,0,2025-09-15 23:25:10,,,
2025-05,供热耗用原煤,18560.00,-2.10,3,2025-05-31 00:00:00,1,0,2025-09-15 23:25:10,0,2025-09-15 23:25:10,,,
2025-04,供热耗用原煤,17063.00,-0.80,4,2025-04-30 00:00:00,1,0,2025-09-15 23:25:10,0,2025-09-15 23:25:10,,,
2025-03,供热耗用原煤,15129.00,-1.20,5,2025-03-31 00:00:00,1,0,2025-09-15 23:25:10,0,2025-09-15 23:25:10,,,
2025-02,供热耗用原煤,11077.00,0.00,6,2025-02-28 00:00:00,1,0,2025-09-15 23:25:10,0,2025-09-15 23:25:10,,,
2024-11,供热耗用原煤,31157.00,6.20,7,2024-11-30 00:00:00,1,0,2025-09-15 23:25:10,0,2025-09-15 23:25:10,,,
2024-10,供热耗用原煤,26998.00,7.30,8,2024-10-31 00:00:00,1,0,2025-09-15 23:25:10,0,2025-09-15 23:25:10,,,
2024-09,供热耗用原煤,24643.00,7.30,9,2024-09-30 00:00:00,1,0,2025-09-15 23:25:10,0,2025-09-15 23:25:10,,,
2024-08,供热耗用原煤,23389.00,8.60,10,2024-08-31 00:00:00,1,0,2025-09-15 23:25:10,0,2025-09-15 23:25:10,,,
2024-07,供热耗用原煤,21915.00,9.20,11,2024-07-31 00:00:00,1,0,2025-09-15 23:25:10,0,2025-09-15 23:25:10,,,
2024-06,供热耗用原煤,20454.00,9.50,12,2024-06-30 00:00:00,1,0,2025-09-15 23:25:10,0,2025-09-15 23:25:10,,,
2024-05,供热耗用原煤,18951.00,10.10,13,2024-05-31 00:00:00,1,0,2025-09-15 23:25:10,0,2025-09-15 23:25:10,,,
2024-04,供热耗用原煤,17196.00,9.50,14,2024-04-30 00:00:00,1,0,2025-09-15 23:25:10,0,2025-09-15 23:25:10,,,
2024-03,供热耗用原煤,15266.00,10.40,15,2024-03-31 00:00:00,1,0,2025-09-15 23:25:10,0,2025-09-15 23:25:10,,,
