时间,项目名称,累计值(万吨),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2020-09,供热耗用原煤,19236.00,1.20,37,2020-09-30 00:00:00,1,0,2024-07-20 16:07:57,0,2024-07-20 16:07:57,,,
2020-08,供热耗用原煤,18236.00,4.00,38,2020-08-31 00:00:00,1,0,2024-07-20 16:07:57,0,2024-07-20 16:07:57,,,
2020-07,供热耗用原煤,16847.00,2.60,39,2020-07-31 00:00:00,1,0,2024-07-20 16:07:57,0,2024-07-20 16:07:57,,,
2020-06,供热耗用原煤,15857.00,3.60,40,2020-06-30 00:00:00,1,0,2024-07-20 16:07:57,0,2024-07-20 16:07:57,,,
2020-05,供热耗用原煤,14720.00,5.10,41,2020-05-31 00:00:00,1,0,2024-07-20 16:07:57,0,2024-07-20 16:07:57,,,
2020-04,供热耗用原煤,13528.00,4.00,42,2020-04-30 00:00:00,1,0,2024-07-20 16:07:57,0,2024-07-20 16:07:57,,,
2020-03,供热耗用原煤,11766.00,3.60,43,2020-03-31 00:00:00,1,0,2024-07-20 16:07:57,0,2024-07-20 16:07:57,,,
2020-02,供热耗用原煤,8482.00,4.10,44,2020-02-29 00:00:00,1,0,2024-07-20 16:07:57,0,2024-07-20 16:07:57,,,
2019-11,供热耗用原煤,24158.00,4.70,45,2019-11-30 00:00:00,1,0,2024-07-20 16:07:57,0,2024-07-20 16:07:57,,,
2019-10,供热耗用原煤,20160.00,2.60,46,2019-10-31 00:00:00,1,0,2024-07-20 16:07:57,0,2024-07-20 16:07:57,,,
2019-09,供热耗用原煤,18882.00,7.60,47,2019-09-30 00:00:00,1,0,2024-07-20 16:07:57,0,2024-07-20 16:07:57,,,
2019-08,供热耗用原煤,17432.00,6.60,48,2019-08-31 00:00:00,1,0,2024-07-20 16:07:57,0,2024-07-20 16:07:57,,,
2019-07,供热耗用原煤,16334.00,7.30,49,2019-07-31 00:00:00,1,0,2024-07-20 16:07:57,0,2024-07-20 16:07:57,,,
2019-06,供热耗用原煤,15240.00,7.30,50,2019-06-30 00:00:00,1,0,2024-07-20 16:07:57,0,2024-07-20 16:07:57,,,
2019-05,供热耗用原煤,13952.00,5.80,51,2019-05-31 00:00:00,1,0,2024-07-20 16:07:57,0,2024-07-20 16:07:57,,,
2019-04,供热耗用原煤,12962.00,8.30,52,2019-04-30 00:00:00,1,0,2024-07-20 16:07:57,0,2024-07-20 16:07:57,,,
2019-03,供热耗用原煤,11091.00,5.30,53,2019-03-31 00:00:00,1,0,2024-07-20 16:07:57,0,2024-07-20 16:07:57,,,
2019-02,供热耗用原煤,8147.00,5.70,54,2019-02-28 00:00:00,1,0,2024-07-20 16:07:57,0,2024-07-20 16:07:57,,,
2018-11,供热耗用原煤,23069.00,14.70,55,2018-11-30 00:00:00,1,0,2024-07-20 16:07:57,0,2024-07-20 16:07:57,,,
2018-10,供热耗用原煤,19649.00,13.80,56,2018-10-31 00:00:00,1,0,2024-07-20 16:07:57,0,2024-07-20 16:07:57,,,
2018-09,供热耗用原煤,17545.00,11.20,57,2018-09-30 00:00:00,1,0,2024-07-20 16:07:57,0,2024-07-20 16:07:57,,,
2018-08,供热耗用原煤,16347.00,14.00,58,2018-08-31 00:00:00,1,0,2024-07-20 16:07:57,0,2024-07-20 16:07:57,,,
2018-07,供热耗用原煤,15219.00,10.90,59,2018-07-31 00:00:00,1,0,2024-07-20 16:07:57,0,2024-07-20 16:07:57,,,
2018-06,供热耗用原煤,14205.00,12.40,60,2018-06-30 00:00:00,1,0,2024-07-20 16:07:57,0,2024-07-20 16:07:57,,,
2018-05,供热耗用原煤,13187.00,13.10,61,2018-05-31 00:00:00,1,0,2024-07-20 16:08:01,0,2024-07-20 16:08:01,,,
2018-04,供热耗用原煤,12014.00,13.40,62,2018-04-30 00:00:00,1,0,2024-07-20 16:08:01,0,2024-07-20 16:08:01,,,
2018-03,供热耗用原煤,10536.00,15.20,63,2018-03-31 00:00:00,1,0,2024-07-20 16:08:01,0,2024-07-20 16:08:01,,,
2018-02,供热耗用原煤,7705.00,18.00,64,2018-02-28 00:00:00,1,0,2024-07-20 16:08:01,0,2024-07-20 16:08:01,,,
