时间,数据项目,本期,环比增幅(%),同比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-19,褐煤指数(点),303.00,0.00,2.26,1,2024-07-19 00:00:00,1,0,2024-07-20 06:16:11,0,2024-07-20 06:16:11,,,
2024-07-19,蒙东3200K(元/吨),292.00,0.00,2.46,2,2024-07-19 00:00:00,1,0,2024-07-20 06:16:11,0,2024-07-20 06:16:11,,,
2024-07-19,蒙东3600K(元/吨),343.00,0.00,0.00,3,2024-07-19 00:00:00,1,0,2024-07-20 06:16:11,0,2024-07-20 06:16:11,,,
2024-07-19,锡林郭勒3200K(元/吨),288.00,0.00,5.11,4,2024-07-19 00:00:00,1,0,2024-07-20 06:16:11,0,2024-07-20 06:16:11,,,
2024-07-19,通辽3200K(元/吨),274.00,0.00,0.00,5,2024-07-19 00:00:00,1,0,2024-07-20 06:16:11,0,2024-07-20 06:16:11,,,
2024-07-19,通辽3600K(元/吨),308.00,0.00,0.00,6,2024-07-19 00:00:00,1,0,2024-07-20 06:16:11,0,2024-07-20 06:16:11,,,
2024-07-19,呼伦贝尔3200K(元/吨),277.00,0.00,-4.48,7,2024-07-19 00:00:00,1,0,2024-07-20 06:16:11,0,2024-07-20 06:16:11,,,
2024-07-19,呼伦贝尔3600K(元/吨),326.00,0.00,0.00,8,2024-07-19 00:00:00,1,0,2024-07-20 06:16:11,0,2024-07-20 06:16:11,,,
2024-07-19,赤峰3200K(元/吨),411.00,0.00,0.00,9,2024-07-19 00:00:00,1,0,2024-07-20 06:16:11,0,2024-07-20 06:16:11,,,
2024-07-19,赤峰3600K(元/吨),462.00,0.00,0.00,10,2024-07-19 00:00:00,1,0,2024-07-20 06:16:11,0,2024-07-20 06:16:11,,,
2024-07-19,赤峰4000K(元/吨),513.00,0.00,0.00,11,2024-07-19 00:00:00,1,0,2024-07-20 06:16:11,0,2024-07-20 06:16:11,,,
2024-07-12,褐煤指数(点),303.00,0.00,2.26,12,2024-07-12 00:00:00,1,0,2024-07-20 06:16:11,0,2024-07-20 06:16:11,,,
