时间,所属行业,当月值(亿吨),同比增长(%),累计值(亿吨),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2023-10,建材行业,0.50,-2.00,4.30,-0.20,35,2023-10-31 00:00:00,1,0,2024-07-20 14:08:46,0,2024-07-20 14:08:46,,,
2023-10,钢铁行业,0.60,0.20,5.80,2.20,36,2023-10-31 00:00:00,1,0,2024-07-20 14:08:46,0,2024-07-20 14:08:46,,,
2023-09,电力行业,2.10,6.90,20.40,10.30,37,2023-09-30 00:00:00,1,0,2024-07-20 14:08:46,0,2024-07-20 14:08:46,,,
2023-09,化工行业,0.30,2.30,2.50,4.40,38,2023-09-30 00:00:00,1,0,2024-07-20 14:08:46,0,2024-07-20 14:08:46,,,
2023-09,建材行业,0.50,-2.20,3.90,0.00,39,2023-09-30 00:00:00,1,0,2024-07-20 14:08:46,0,2024-07-20 14:08:46,,,
2023-09,钢铁行业,0.60,-5.80,5.20,2.40,40,2023-09-30 00:00:00,1,0,2024-07-20 14:08:46,0,2024-07-20 14:08:46,,,
2023-08,电力行业,2.50,5.20,18.30,10.70,41,2023-08-31 00:00:00,1,0,2024-07-20 14:08:46,0,2024-07-20 14:08:46,,,
2023-08,化工行业,0.30,16.30,2.20,4.70,42,2023-08-31 00:00:00,1,0,2024-07-20 14:08:46,0,2024-07-20 14:08:46,,,
2023-08,建材行业,0.50,5.90,3.40,0.40,43,2023-08-31 00:00:00,1,0,2024-07-20 14:08:46,0,2024-07-20 14:08:46,,,
2023-08,钢铁行业,0.60,7.80,4.60,3.50,44,2023-08-31 00:00:00,1,0,2024-07-20 14:08:46,0,2024-07-20 14:08:46,,,
2023-07,电力行业,2.60,13.70,15.80,11.60,45,2023-07-31 00:00:00,1,0,2024-07-20 14:08:46,0,2024-07-20 14:08:46,,,
2023-07,化工行业,0.30,3.20,1.90,3.10,46,2023-07-31 00:00:00,1,0,2024-07-20 14:08:46,0,2024-07-20 14:08:46,,,
2023-07,建材行业,0.50,-7.60,2.90,-0.50,47,2023-07-31 00:00:00,1,0,2024-07-20 14:08:46,0,2024-07-20 14:08:46,,,
2023-07,钢铁行业,0.60,6.70,4.00,2.90,48,2023-07-31 00:00:00,1,0,2024-07-20 14:08:46,0,2024-07-20 14:08:46,,,
2023-06,电力行业,2.20,22.70,13.30,11.20,49,2023-06-30 00:00:00,1,0,2024-07-20 14:08:46,0,2024-07-20 14:08:46,,,
2023-06,化工行业,0.30,0.90,1.60,3.10,50,2023-06-30 00:00:00,1,0,2024-07-20 14:08:46,0,2024-07-20 14:08:46,,,
2023-06,建材行业,0.50,1.60,2.50,1.00,51,2023-06-30 00:00:00,1,0,2024-07-20 14:08:46,0,2024-07-20 14:08:46,,,
2023-06,钢铁行业,0.60,1.70,3.40,2.30,52,2023-06-30 00:00:00,1,0,2024-07-20 14:08:46,0,2024-07-20 14:08:46,,,
2023-05,电力行业,2.10,22.30,11.00,9.10,53,2023-05-31 00:00:00,1,0,2024-07-20 14:08:46,0,2024-07-20 14:08:46,,,
2023-05,化工行业,0.30,2.00,1.40,3.60,54,2023-05-31 00:00:00,1,0,2024-07-20 14:08:46,0,2024-07-20 14:08:46,,,
2023-05,建材行业,0.50,-1.60,2.00,0.80,55,2023-05-31 00:00:00,1,0,2024-07-20 14:08:46,0,2024-07-20 14:08:46,,,
2023-05,钢铁行业,0.60,-0.60,2.80,2.50,56,2023-05-31 00:00:00,1,0,2024-07-20 14:08:46,0,2024-07-20 14:08:46,,,
2023-04,电力行业,2.00,17.10,9.00,6.50,57,2023-04-30 00:00:00,1,0,2024-07-20 14:08:46,0,2024-07-20 14:08:46,,,
2023-04,化工行业,0.30,-0.50,1.10,4.00,58,2023-04-30 00:00:00,1,0,2024-07-20 14:08:46,0,2024-07-20 14:08:46,,,
2023-04,建材行业,0.50,-5.60,1.50,1.60,59,2023-04-30 00:00:00,1,0,2024-07-20 14:08:46,0,2024-07-20 14:08:46,,,
2023-04,钢铁行业,0.60,1.20,2.20,3.30,60,2023-04-30 00:00:00,1,0,2024-07-20 14:08:46,0,2024-07-20 14:08:46,,,
2023-03,电力行业,2.30,11.10,7.00,3.80,61,2023-03-31 00:00:00,1,0,2024-07-20 14:08:49,0,2024-07-20 14:08:49,,,
2023-03,化工行业,0.30,7.50,0.80,5.60,62,2023-03-31 00:00:00,1,0,2024-07-20 14:08:49,0,2024-07-20 14:08:49,,,
2023-03,建材行业,0.50,10.60,1.00,5.40,63,2023-03-31 00:00:00,1,0,2024-07-20 14:08:49,0,2024-07-20 14:08:49,,,
2023-03,钢铁行业,0.60,5.10,1.70,4.10,64,2023-03-31 00:00:00,1,0,2024-07-20 14:08:49,0,2024-07-20 14:08:49,,,
2023-02,电力行业,2.40,7.80,4.60,0.40,65,2023-02-28 00:00:00,1,0,2024-07-20 14:08:49,0,2024-07-20 14:08:49,,,
2023-02,化工行业,0.20,4.00,0.50,4.60,66,2023-02-28 00:00:00,1,0,2024-07-20 14:08:49,0,2024-07-20 14:08:49,,,
2023-02,建材行业,0.30,31.10,0.50,1.00,67,2023-02-28 00:00:00,1,0,2024-07-20 14:08:49,0,2024-07-20 14:08:49,,,
2023-02,钢铁行业,0.50,7.60,1.10,3.60,68,2023-02-28 00:00:00,1,0,2024-07-20 14:08:49,0,2024-07-20 14:08:49,,,
2023-01,电力行业,2.30,-6.30,2.30,-6.30,69,2023-01-31 00:00:00,1,0,2024-07-20 14:08:49,0,2024-07-20 14:08:49,,,
2023-01,化工行业,0.30,5.20,0.30,5.20,70,2023-01-31 00:00:00,1,0,2024-07-20 14:08:49,0,2024-07-20 14:08:49,,,
2023-01,建材行业,0.20,-21.80,0.20,-21.80,71,2023-01-31 00:00:00,1,0,2024-07-20 14:08:49,0,2024-07-20 14:08:49,,,
2023-01,钢铁行业,0.60,0.10,0.60,0.10,72,2023-01-31 00:00:00,1,0,2024-07-20 14:08:49,0,2024-07-20 14:08:49,,,
2022-12,电力行业,2.30,3.40,24.60,2.00,73,2022-12-31 00:00:00,1,0,2024-07-20 14:08:49,0,2024-07-20 14:08:49,,,
2022-12,化工行业,0.30,7.60,3.20,5.40,74,2022-12-31 00:00:00,1,0,2024-07-20 14:08:49,0,2024-07-20 14:08:49,,,
2022-12,建材行业,0.40,-2.00,5.20,-5.60,75,2022-12-31 00:00:00,1,0,2024-07-20 14:08:49,0,2024-07-20 14:08:49,,,
2022-12,钢铁行业,0.60,7.40,6.80,1.70,76,2022-12-31 00:00:00,1,0,2024-07-20 14:08:49,0,2024-07-20 14:08:49,,,
2022-11,电力行业,2.00,1.40,22.30,1.70,77,2022-11-30 00:00:00,1,0,2024-07-20 14:08:49,0,2024-07-20 14:08:49,,,
2022-11,化工行业,0.30,5.70,2.90,5.20,78,2022-11-30 00:00:00,1,0,2024-07-20 14:08:49,0,2024-07-20 14:08:49,,,
2022-11,建材行业,0.50,-5.00,4.80,-5.90,79,2022-11-30 00:00:00,1,0,2024-07-20 14:08:49,0,2024-07-20 14:08:49,,,
