时间,报价点,产品名称,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-03,黄骅港,疆煤5号,,,,,,800.00,平仓价,16,2024-07-03 00:00:00,1,0,2024-07-17 09:04:16,0,2024-07-17 09:04:16,,,
2024-07-03,黄骅港,神块2号,,,,,,910.00,平仓价,17,2024-07-03 00:00:00,1,0,2024-07-17 09:04:16,0,2024-07-17 09:04:16,,,
2024-07-03,黄骅港,神块3号,,,,,,921.00,平仓价,18,2024-07-03 00:00:00,1,0,2024-07-17 09:04:16,0,2024-07-17 09:04:16,,,
2024-07-03,黄骅港,神优2号,,,,,,910.00,平仓价,19,2024-07-03 00:00:00,1,0,2024-07-17 09:04:16,0,2024-07-17 09:04:16,,,
2024-07-03,黄骅港,神块1号,,,,,,931.00,平仓价,20,2024-07-03 00:00:00,1,0,2024-07-17 09:04:16,0,2024-07-17 09:04:16,,,
2024-07-02,巴图塔,神优3号,,,,,,713.00,车板价,21,2024-07-02 00:00:00,1,0,2024-07-17 09:04:16,0,2024-07-17 09:04:16,,,
2024-06-29,黄骅港,特低灰,,,,,,980.00,平仓价,22,2024-06-29 00:00:00,1,0,2024-07-17 09:04:16,0,2024-07-17 09:04:16,,,
2024-06-29,黄骅港,疆煤5号,,,,,,790.00,平仓价,23,2024-06-29 00:00:00,1,0,2024-07-17 09:04:16,0,2024-07-17 09:04:16,,,
2024-06-29,黄骅港,神冶2号,,,,,,931.00,平仓价,24,2024-06-29 00:00:00,1,0,2024-07-17 09:04:16,0,2024-07-17 09:04:16,,,
2024-06-29,黄骅港,神块1号,,,,,,950.00,平仓价,25,2024-06-29 00:00:00,1,0,2024-07-17 09:04:16,0,2024-07-17 09:04:16,,,
2024-06-29,黄骅港,神块2号,,,,,,925.00,平仓价,26,2024-06-29 00:00:00,1,0,2024-07-17 09:04:16,0,2024-07-17 09:04:16,,,
2024-06-29,黄骅港,神优2号,,,,,,928.00,平仓价,27,2024-06-29 00:00:00,1,0,2024-07-17 09:04:16,0,2024-07-17 09:04:16,,,
2024-06-29,黄骅港,神优3号,,,,,,921.00,平仓价,28,2024-06-29 00:00:00,1,0,2024-07-17 09:04:16,0,2024-07-17 09:04:16,,,
2024-06-29,黄骅港,建优1号,,,,,,863.00,平仓价,29,2024-06-29 00:00:00,1,0,2024-07-17 09:04:16,0,2024-07-17 09:04:16,,,
2024-06-29,黄骅港,神块3号,,,,,,940.00,平仓价,30,2024-06-29 00:00:00,1,0,2024-07-17 09:04:16,0,2024-07-17 09:04:16,,,
2024-06-28,巴图塔,神优3号,,,,,,713.00,车板价,31,2024-06-28 00:00:00,1,0,2024-07-17 09:04:19,0,2024-07-17 09:04:19,,,
2024-06-26,黄骅港,神块3号,,,,,,954.00,平仓价,32,2024-06-26 00:00:00,1,0,2024-07-17 09:04:19,0,2024-07-17 09:04:19,,,
2024-06-26,黄骅港,神优2号,,,,,,942.00,平仓价,33,2024-06-26 00:00:00,1,0,2024-07-17 09:04:19,0,2024-07-17 09:04:19,,,
2024-06-26,黄骅港,神块2号,,,,,,942.00,平仓价,34,2024-06-26 00:00:00,1,0,2024-07-17 09:04:19,0,2024-07-17 09:04:19,,,
2024-06-26,黄骅港,神块1号,,,,,,964.00,平仓价,35,2024-06-26 00:00:00,1,0,2024-07-17 09:04:19,0,2024-07-17 09:04:19,,,
2024-06-26,黄骅港,神冶2号,,,,,,945.00,平仓价,36,2024-06-26 00:00:00,1,0,2024-07-17 09:04:19,0,2024-07-17 09:04:19,,,
2024-06-26,黄骅港,神优3号,,,,,,935.00,平仓价,37,2024-06-26 00:00:00,1,0,2024-07-17 09:04:19,0,2024-07-17 09:04:19,,,
2024-06-26,黄骅港,建优1号,,,,,,877.00,平仓价,38,2024-06-26 00:00:00,1,0,2024-07-17 09:04:19,0,2024-07-17 09:04:19,,,
2024-06-26,黄骅港,特低灰,,,,,,994.00,平仓价,39,2024-06-26 00:00:00,1,0,2024-07-17 09:04:19,0,2024-07-17 09:04:19,,,
2024-06-26,黄骅港,疆煤5号,,,,,,790.00,平仓价,40,2024-06-26 00:00:00,1,0,2024-07-17 09:04:19,0,2024-07-17 09:04:19,,,
2024-06-25,巴图塔,神优3号,,,,,,727.00,车板价,41,2024-06-25 00:00:00,1,0,2024-07-17 09:04:19,0,2024-07-17 09:04:19,,,
2024-06-25,巴图塔,神优2号,,,,,,726.00,车板价,42,2024-06-25 00:00:00,1,0,2024-07-17 09:04:19,0,2024-07-17 09:04:19,,,
2024-06-21,黄骅港,疆煤5号,,,,,,790.00,平仓价,43,2024-06-21 00:00:00,1,0,2024-07-17 09:04:19,0,2024-07-17 09:04:19,,,
2024-06-21,黄骅港,神块2号,,,,,,942.00,平仓价,44,2024-06-21 00:00:00,1,0,2024-07-17 09:04:19,0,2024-07-17 09:04:19,,,
2024-06-21,黄骅港,神冶2号,,,,,,945.00,平仓价,45,2024-06-21 00:00:00,1,0,2024-07-17 09:04:19,0,2024-07-17 09:04:19,,,
2024-06-21,黄骅港,特低灰,,,,,,994.00,平仓价,46,2024-06-21 00:00:00,1,0,2024-07-17 09:04:19,0,2024-07-17 09:04:19,,,
2024-06-21,黄骅港,神块3号,,,,,,954.00,平仓价,47,2024-06-21 00:00:00,1,0,2024-07-17 09:04:19,0,2024-07-17 09:04:19,,,
2024-06-21,黄骅港,神优3号,,,,,,935.00,平仓价,48,2024-06-21 00:00:00,1,0,2024-07-17 09:04:19,0,2024-07-17 09:04:19,,,
2024-06-21,黄骅港,神优2号,,,,,,942.00,平仓价,49,2024-06-21 00:00:00,1,0,2024-07-17 09:04:19,0,2024-07-17 09:04:19,,,
2024-06-21,黄骅港,神块1号,,,,,,964.00,平仓价,50,2024-06-21 00:00:00,1,0,2024-07-17 09:04:19,0,2024-07-17 09:04:19,,,
2024-06-21,黄骅港,建优1号,,,,,,877.00,平仓价,51,2024-06-21 00:00:00,1,0,2024-07-17 09:04:19,0,2024-07-17 09:04:19,,,
2024-06-20,巴图塔,神优2号,,,,,,726.00,车板价,52,2024-06-20 00:00:00,1,0,2024-07-17 09:04:19,0,2024-07-17 09:04:19,,,
2024-06-20,巴图塔,神优3号,,,,,,727.00,车板价,53,2024-06-20 00:00:00,1,0,2024-07-17 09:04:19,0,2024-07-17 09:04:19,,,
2024-06-19,黄骅港,神优2号,,,,,,949.00,平仓价,54,2024-06-19 00:00:00,1,0,2024-07-17 09:04:19,0,2024-07-17 09:04:19,,,
2024-06-19,黄骅港,神块3号,,,,,,961.00,平仓价,55,2024-06-19 00:00:00,1,0,2024-07-17 09:04:19,0,2024-07-17 09:04:19,,,
2024-06-19,黄骅港,神优1号,,,,,,975.00,平仓价,56,2024-06-19 00:00:00,1,0,2024-07-17 09:04:19,0,2024-07-17 09:04:19,,,
2024-06-19,黄骅港,疆煤5号,,,,,,790.00,平仓价,57,2024-06-19 00:00:00,1,0,2024-07-17 09:04:19,0,2024-07-17 09:04:19,,,
2024-06-19,黄骅港,神块1号,,,,,,971.00,平仓价,58,2024-06-19 00:00:00,1,0,2024-07-17 09:04:19,0,2024-07-17 09:04:19,,,
2024-06-19,黄骅港,神冶2号,,,,,,952.00,平仓价,59,2024-06-19 00:00:00,1,0,2024-07-17 09:04:19,0,2024-07-17 09:04:19,,,
2024-06-19,黄骅港,神块2号,,,,,,949.00,平仓价,60,2024-06-19 00:00:00,1,0,2024-07-17 09:04:19,0,2024-07-17 09:04:19,,,
2024-06-19,黄骅港,神冶2号,,,,,,952.00,平仓价,61,2024-06-19 00:00:00,1,0,2024-07-17 09:04:23,0,2024-07-17 09:04:23,,,
2024-06-19,黄骅港,神优3号,,,,,,942.00,平仓价,62,2024-06-19 00:00:00,1,0,2024-07-17 09:04:23,0,2024-07-17 09:04:23,,,
2024-06-19,黄骅港,神块3号,,,,,,961.00,平仓价,63,2024-06-19 00:00:00,1,0,2024-07-17 09:04:23,0,2024-07-17 09:04:23,,,
2024-06-18,巴图塔,神优2号,,,,,,733.00,车板价,64,2024-06-18 00:00:00,1,0,2024-07-17 09:04:23,0,2024-07-17 09:04:23,,,
2024-06-18,巴图塔,神优3号,,,,,,734.00,车板价,65,2024-06-18 00:00:00,1,0,2024-07-17 09:04:23,0,2024-07-17 09:04:23,,,
2024-06-11,巴图塔,神优3号,,,,,,734.00,车板价,66,2024-06-11 00:00:00,1,0,2024-07-17 09:04:23,0,2024-07-17 09:04:23,,,
2024-06-11,巴图塔,神优2号,,,,,,733.00,车板价,67,2024-06-11 00:00:00,1,0,2024-07-17 09:04:23,0,2024-07-17 09:04:23,,,
2024-06-08,黄骅港,特低灰,,,,,,1001.00,平仓价,68,2024-06-08 00:00:00,1,0,2024-07-17 09:04:23,0,2024-07-17 09:04:23,,,
2024-06-08,黄骅港,神优3号,,,,,,942.00,平仓价,69,2024-06-08 00:00:00,1,0,2024-07-17 09:04:23,0,2024-07-17 09:04:23,,,
2024-06-08,黄骅港,神块2号,,,,,,949.00,平仓价,70,2024-06-08 00:00:00,1,0,2024-07-17 09:04:23,0,2024-07-17 09:04:23,,,
2024-06-08,黄骅港,神块1号,,,,,,971.00,平仓价,71,2024-06-08 00:00:00,1,0,2024-07-17 09:04:23,0,2024-07-17 09:04:23,,,
2024-06-08,黄骅港,神冶2号,,,,,,952.00,平仓价,72,2024-06-08 00:00:00,1,0,2024-07-17 09:04:23,0,2024-07-17 09:04:23,,,
2024-06-08,黄骅港,神块3号,,,,,,961.00,平仓价,73,2024-06-08 00:00:00,1,0,2024-07-17 09:04:23,0,2024-07-17 09:04:23,,,
2024-06-08,黄骅港,疆煤5号,,,,,,790.00,平仓价,74,2024-06-08 00:00:00,1,0,2024-07-17 09:04:23,0,2024-07-17 09:04:23,,,
2024-06-08,黄骅港,神优2号,,,,,,949.00,平仓价,75,2024-06-08 00:00:00,1,0,2024-07-17 09:04:23,0,2024-07-17 09:04:23,,,
2024-06-08,黄骅港,建优1号,,,,,,887.00,平仓价,76,2024-06-08 00:00:00,1,0,2024-07-17 09:04:23,0,2024-07-17 09:04:23,,,
2024-06-08,黄骅港,神优1号,,,,,,975.00,平仓价,77,2024-06-08 00:00:00,1,0,2024-07-17 09:04:23,0,2024-07-17 09:04:23,,,
2024-06-04,巴图塔,神优3号,,,,,,734.00,车板价,78,2024-06-04 00:00:00,1,0,2024-07-17 09:04:23,0,2024-07-17 09:04:23,,,
2024-06-04,巴图塔,神优2号,,,,,,733.00,车板价,79,2024-06-04 00:00:00,1,0,2024-07-17 09:04:23,0,2024-07-17 09:04:23,,,
2024-05-29,黄骅港,神优1号,,,,,,975.00,平仓价,80,2024-05-29 00:00:00,1,0,2024-07-17 09:04:23,0,2024-07-17 09:04:23,,,
2024-05-29,黄骅港,疆煤5号,,,,,,790.00,平仓价,81,2024-05-29 00:00:00,1,0,2024-07-17 09:04:23,0,2024-07-17 09:04:23,,,
2024-05-29,黄骅港,神优2号,,,,,,949.00,平仓价,82,2024-05-29 00:00:00,1,0,2024-07-17 09:04:23,0,2024-07-17 09:04:23,,,
2024-05-29,黄骅港,神块1号,,,,,,971.00,平仓价,83,2024-05-29 00:00:00,1,0,2024-07-17 09:04:23,0,2024-07-17 09:04:23,,,
2024-05-29,黄骅港,神冶2号,,,,,,952.00,平仓价,84,2024-05-29 00:00:00,1,0,2024-07-17 09:04:23,0,2024-07-17 09:04:23,,,
2024-05-29,黄骅港,神块2号,,,,,,949.00,平仓价,85,2024-05-29 00:00:00,1,0,2024-07-17 09:04:23,0,2024-07-17 09:04:23,,,
2024-05-29,黄骅港,神优3号,,,,,,942.00,平仓价,86,2024-05-29 00:00:00,1,0,2024-07-17 09:04:23,0,2024-07-17 09:04:23,,,
2024-05-29,黄骅港,建优1号,,,,,,887.00,平仓价,87,2024-05-29 00:00:00,1,0,2024-07-17 09:04:23,0,2024-07-17 09:04:23,,,
2024-05-29,黄骅港,神块3号,,,,,,961.00,平仓价,88,2024-05-29 00:00:00,1,0,2024-07-17 09:04:23,0,2024-07-17 09:04:23,,,
2024-05-29,黄骅港,特低灰,,,,,,1001.00,平仓价,89,2024-05-29 00:00:00,1,0,2024-07-17 09:04:23,0,2024-07-17 09:04:23,,,
2024-05-28,巴图塔,神优3号,,,,,,734.00,车板价,90,2024-05-28 00:00:00,1,0,2024-07-17 09:04:23,0,2024-07-17 09:04:23,,,
2024-05-28,巴图塔,神优3号,,,,,,734.00,车板价,91,2024-05-28 00:00:00,1,0,2024-07-17 09:04:27,0,2024-07-17 09:04:27,,,
2024-05-25,黄骅港,神块3号,,,,,,961.00,平仓价,92,2024-05-25 00:00:00,1,0,2024-07-17 09:04:27,0,2024-07-17 09:04:27,,,
2024-05-25,黄骅港,神优1号,,,,,,975.00,平仓价,93,2024-05-25 00:00:00,1,0,2024-07-17 09:04:27,0,2024-07-17 09:04:27,,,
2024-05-25,黄骅港,神冶2号,,,,,,952.00,平仓价,94,2024-05-25 00:00:00,1,0,2024-07-17 09:04:27,0,2024-07-17 09:04:27,,,
2024-05-25,黄骅港,建优1号,,,,,,887.00,平仓价,95,2024-05-25 00:00:00,1,0,2024-07-17 09:04:27,0,2024-07-17 09:04:27,,,
2024-05-25,黄骅港,神块2号,,,,,,949.00,平仓价,96,2024-05-25 00:00:00,1,0,2024-07-17 09:04:27,0,2024-07-17 09:04:27,,,
