时间,项目名称,累计值(万平方米),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2021-06,房地产业土地购置面积,7021.24,-11.80,36,2021-06-30 00:00:00,1,0,2024-07-21 04:35:52,0,2024-07-21 04:35:52,,,
2021-05,房地产业土地购置面积,4395.61,-7.50,37,2021-05-31 00:00:00,1,0,2024-07-21 04:35:52,0,2024-07-21 04:35:52,,,
2021-05,房地产业土地成交价款,1930.70,-20.50,38,2021-05-31 00:00:00,1,0,2024-07-21 04:35:52,0,2024-07-21 04:35:52,,,
2021-04,房地产业土地购置面积,3300.97,4.80,39,2021-04-30 00:00:00,1,0,2024-07-21 04:35:52,0,2024-07-21 04:35:52,,,
2021-04,房地产业土地成交价款,1203.06,-29.20,40,2021-04-30 00:00:00,1,0,2024-07-21 04:35:52,0,2024-07-21 04:35:52,,,
2021-03,房地产业土地成交价款,808.87,-17.30,41,2021-03-31 00:00:00,1,0,2024-07-21 04:35:52,0,2024-07-21 04:35:52,,,
2021-03,房地产业土地购置面积,2301.30,16.90,42,2021-03-31 00:00:00,1,0,2024-07-21 04:35:52,0,2024-07-21 04:35:52,,,
2021-02,房地产业土地成交价款,503.35,14.30,43,2021-02-28 00:00:00,1,0,2024-07-21 04:35:52,0,2024-07-21 04:35:52,,,
2021-02,房地产业土地购置面积,1452.84,33.00,44,2021-02-28 00:00:00,1,0,2024-07-21 04:35:52,0,2024-07-21 04:35:52,,,
2020-12,房地产业土地成交价款,17268.83,17.40,45,2020-12-31 00:00:00,1,0,2024-07-21 04:35:52,0,2024-07-21 04:35:52,,,
2020-12,房地产业土地购置面积,25536.28,-1.10,46,2020-12-31 00:00:00,1,0,2024-07-21 04:35:52,0,2024-07-21 04:35:52,,,
2020-11,房地产业土地购置面积,20590.60,-5.20,47,2020-11-30 00:00:00,1,0,2024-07-21 04:35:52,0,2024-07-21 04:35:52,,,
2020-11,房地产业土地成交价款,13890.27,16.10,48,2020-11-30 00:00:00,1,0,2024-07-21 04:35:52,0,2024-07-21 04:35:52,,,
2020-10,房地产业土地成交价款,11386.47,14.80,49,2020-10-31 00:00:00,1,0,2024-07-21 04:35:52,0,2024-07-21 04:35:52,,,
2020-10,房地产业土地购置面积,17774.77,-3.30,50,2020-10-31 00:00:00,1,0,2024-07-21 04:35:52,0,2024-07-21 04:35:52,,,
2020-09,房地产业土地成交价款,9315.51,13.80,51,2020-09-30 00:00:00,1,0,2024-07-21 04:35:52,0,2024-07-21 04:35:52,,,
2020-09,房地产业土地购置面积,15010.60,-2.90,52,2020-09-30 00:00:00,1,0,2024-07-21 04:35:52,0,2024-07-21 04:35:52,,,
2020-08,房地产业土地购置面积,11946.78,-2.40,53,2020-08-31 00:00:00,1,0,2024-07-21 04:35:52,0,2024-07-21 04:35:52,,,
