时间,数据口径,地区,当月值(万吨),同比增长(万吨),累计值(万吨),累计增长(%),平均日产(万吨),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06,CCTD,全国,18314.70,400.40,,,,1,2024-06-30 00:00:00,1,0,2024-07-20 13:04:53,0,2024-07-20 13:04:53,,,
2024-06,CCTD,黑龙江省,268.00,-35.90,,,,2,2024-06-30 00:00:00,1,0,2024-07-20 13:04:53,0,2024-07-20 13:04:53,,,
2024-06,CCTD,内蒙古区,1861.40,-25.10,,,,3,2024-06-30 00:00:00,1,0,2024-07-20 13:04:53,0,2024-07-20 13:04:53,,,
2024-06,CCTD,江苏省,16.00,0.90,,,,4,2024-06-30 00:00:00,1,0,2024-07-20 13:04:53,0,2024-07-20 13:04:53,,,
2024-06,CCTD,吉林省,70.50,-2.20,,,,5,2024-06-30 00:00:00,1,0,2024-07-20 13:04:53,0,2024-07-20 13:04:53,,,
2024-06,CCTD,陕西省,2381.60,350.20,,,,6,2024-06-30 00:00:00,1,0,2024-07-20 13:04:53,0,2024-07-20 13:04:53,,,
2024-06,CCTD,安徽省,823.20,-120.90,,,,7,2024-06-30 00:00:00,1,0,2024-07-20 13:04:53,0,2024-07-20 13:04:53,,,
2024-06,CCTD,辽宁省,190.30,8.90,,,,8,2024-06-30 00:00:00,1,0,2024-07-20 13:04:53,0,2024-07-20 13:04:53,,,
2024-06,CCTD,四川省,94.40,-1.20,,,,9,2024-06-30 00:00:00,1,0,2024-07-20 13:04:53,0,2024-07-20 13:04:53,,,
2024-06,CCTD,江西省,16.40,3.20,,,,10,2024-06-30 00:00:00,1,0,2024-07-20 13:04:53,0,2024-07-20 13:04:53,,,
2024-06,CCTD,重庆市,0.00,0.00,,,,11,2024-06-30 00:00:00,1,0,2024-07-20 13:04:53,0,2024-07-20 13:04:53,,,
2024-06,CCTD,甘肃省,272.70,-1.40,,,,12,2024-06-30 00:00:00,1,0,2024-07-20 13:04:53,0,2024-07-20 13:04:53,,,
2024-06,CCTD,北京市,0.00,0.00,,,,13,2024-06-30 00:00:00,1,0,2024-07-20 13:04:53,0,2024-07-20 13:04:53,,,
2024-06,CCTD,湖南省,43.90,0.10,,,,14,2024-06-30 00:00:00,1,0,2024-07-20 13:04:53,0,2024-07-20 13:04:53,,,
2024-06,CCTD,贵州省,381.00,8.50,,,,15,2024-06-30 00:00:00,1,0,2024-07-20 13:04:53,0,2024-07-20 13:04:53,,,
