时间,所属电网,月末库存(万吨),同期值(万吨),同比变化(万吨),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2022-04,全国,7097.00,5438.00,1659.00,1,2022-04-30 00:00:00,1,0,2025-09-15 23:18:03,0,2025-09-15 23:18:03,,,
2022-03,全国,5895.00,5091.00,804.00,2,2022-03-31 00:00:00,1,0,2025-09-15 23:18:03,0,2025-09-15 23:18:03,,,
2022-02,全国,6370.00,6582.00,-212.00,3,2022-02-28 00:00:00,1,0,2025-09-15 23:18:03,0,2025-09-15 23:18:03,,,
2022-01,全国,7384.00,6267.00,1117.00,4,2022-01-31 00:00:00,1,0,2025-09-15 23:18:03,0,2025-09-15 23:18:03,,,
2021-12,全国,8995.00,6665.00,2330.00,5,2021-12-31 00:00:00,1,0,2025-09-15 23:18:03,0,2025-09-15 23:18:03,,,
2021-11,全国,9322.00,8708.00,614.00,6,2021-11-30 00:00:00,1,0,2025-09-15 23:18:03,0,2025-09-15 23:18:03,,,
2021-10,全国,6832.00,8410.00,-1578.00,7,2021-10-31 00:00:00,1,0,2025-09-15 23:18:03,0,2025-09-15 23:18:03,,,
2021-09,全国,4584.00,8371.00,-3787.00,8,2021-09-30 00:00:00,1,0,2025-09-15 23:18:03,0,2025-09-15 23:18:03,,,
2021-08,全国,4890.00,7788.00,-2898.00,9,2021-08-31 00:00:00,1,0,2025-09-15 23:18:03,0,2025-09-15 23:18:03,,,
2021-07,全国,5067.00,8827.00,-3760.00,10,2021-07-31 00:00:00,1,0,2025-09-15 23:18:03,0,2025-09-15 23:18:03,,,
2021-06,全国,6265.00,8542.00,-2277.00,11,2021-06-30 00:00:00,1,0,2025-09-15 23:18:03,0,2025-09-15 23:18:03,,,
2021-05,全国,6032.00,7794.00,-1762.00,12,2021-05-31 00:00:00,1,0,2025-09-15 23:18:03,0,2025-09-15 23:18:03,,,
2021-04,全国,5438.00,7478.00,-2040.00,13,2021-04-30 00:00:00,1,0,2025-09-15 23:18:03,0,2025-09-15 23:18:03,,,
2021-03,全国,5091.00,7460.00,-2369.00,14,2021-03-31 00:00:00,1,0,2025-09-15 23:18:03,0,2025-09-15 23:18:03,,,
2021-02,全国,6582.00,,,15,2021-02-28 00:00:00,1,0,2025-09-15 23:18:03,0,2025-09-15 23:18:03,,,
2021-01,全国,6267.00,,,16,2021-01-31 00:00:00,1,0,2025-09-15 23:18:03,0,2025-09-15 23:18:03,,,
2020-12,全国,6665.00,8155.00,-1490.00,17,2020-12-31 00:00:00,1,0,2025-09-15 23:18:03,0,2025-09-15 23:18:03,,,
2020-11,全国,8708.00,9697.00,-989.00,18,2020-11-30 00:00:00,1,0,2025-09-15 23:18:03,0,2025-09-15 23:18:03,,,
2020-10,全国,8410.00,9661.00,-1251.00,19,2020-10-31 00:00:00,1,0,2025-09-15 23:18:03,0,2025-09-15 23:18:03,,,
2020-09,全国,8371.00,8598.00,-227.00,20,2020-09-30 00:00:00,1,0,2025-09-15 23:18:03,0,2025-09-15 23:18:03,,,
2020-08,全国,7788.00,8305.00,-517.00,21,2020-08-31 00:00:00,1,0,2025-09-15 23:18:03,0,2025-09-15 23:18:03,,,
2020-07,全国,8827.00,8694.00,133.00,22,2020-07-31 00:00:00,1,0,2025-09-15 23:18:03,0,2025-09-15 23:18:03,,,
2020-06,全国,8542.00,9000.00,-458.00,23,2020-06-30 00:00:00,1,0,2025-09-15 23:18:03,0,2025-09-15 23:18:03,,,
2020-05,全国,7794.00,8719.00,925.00,24,2020-05-31 00:00:00,1,0,2025-09-15 23:18:03,0,2025-09-15 23:18:03,,,
2020-04,全国,7478.00,7472.00,-6.00,25,2020-04-30 00:00:00,1,0,2025-09-15 23:18:03,0,2025-09-15 23:18:03,,,
2020-03,全国,7460.00,6933.00,527.00,26,2020-03-31 00:00:00,1,0,2025-09-15 23:18:03,0,2025-09-15 23:18:03,,,
2020-02,全国,,,,27,2020-02-29 00:00:00,1,0,2025-09-15 23:18:03,0,2025-09-15 23:18:03,,,
2020-01,全国,,,,28,2020-01-31 00:00:00,1,0,2025-09-15 23:18:03,0,2025-09-15 23:18:03,,,
2019-12,全国,8155.00,8141.00,14.00,29,2019-12-31 00:00:00,1,0,2025-09-15 23:18:03,0,2025-09-15 23:18:03,,,
2019-11,全国,9697.00,9405.00,292.00,30,2019-11-30 00:00:00,1,0,2025-09-15 23:18:03,0,2025-09-15 23:18:03,,,
2019-10,全国,9661.00,9199.00,462.00,31,2019-10-31 00:00:00,1,0,2025-09-15 23:18:06,0,2025-09-15 23:18:06,,,
2019-09,全国,8598.00,7564.00,1034.00,32,2019-09-30 00:00:00,1,0,2025-09-15 23:18:06,0,2025-09-15 23:18:06,,,
2019-08,全国,8305.00,6743.00,1562.00,33,2019-08-31 00:00:00,1,0,2025-09-15 23:18:06,0,2025-09-15 23:18:06,,,
2019-07,全国,8694.00,7158.00,1536.00,34,2019-07-31 00:00:00,1,0,2025-09-15 23:18:06,0,2025-09-15 23:18:06,,,
2019-06,全国,9001.00,7569.00,1432.00,35,2019-06-30 00:00:00,1,0,2025-09-15 23:18:06,0,2025-09-15 23:18:06,,,
2019-05,全国,8719.00,6821.00,1898.00,36,2019-05-31 00:00:00,1,0,2025-09-15 23:18:06,0,2025-09-15 23:18:06,,,
2019-04,全国,7472.00,6266.00,1206.00,37,2019-04-30 00:00:00,1,0,2025-09-15 23:18:06,0,2025-09-15 23:18:06,,,
2019-03,全国,6933.00,6230.00,703.00,38,2019-03-31 00:00:00,1,0,2025-09-15 23:18:06,0,2025-09-15 23:18:06,,,
2019-02,全国,7009.00,6468.00,541.00,39,2019-02-28 00:00:00,1,0,2025-09-15 23:18:06,0,2025-09-15 23:18:06,,,
2019-01,全国,8241.00,5414.00,2827.00,40,2019-01-31 00:00:00,1,0,2025-09-15 23:18:06,0,2025-09-15 23:18:06,,,
2018-12,全国,8141.00,6499.00,1642.00,41,2018-12-31 00:00:00,1,0,2025-09-15 23:18:06,0,2025-09-15 23:18:06,,,
2018-11,全国,9405.00,7792.00,1613.00,42,2018-11-30 00:00:00,1,0,2025-09-15 23:18:06,0,2025-09-15 23:18:06,,,
2018-10,全国,9199.00,7745.00,1454.00,43,2018-10-31 00:00:00,1,0,2025-09-15 23:18:06,0,2025-09-15 23:18:06,,,
2018-09,全国,7564.00,6219.00,1345.00,44,2018-09-30 00:00:00,1,0,2025-09-15 23:18:06,0,2025-09-15 23:18:06,,,
2018-08,全国,6743.00,5663.00,1080.00,45,2018-08-31 00:00:00,1,0,2025-09-15 23:18:06,0,2025-09-15 23:18:06,,,
2018-07,全国,7158.00,5848.00,1310.00,46,2018-07-31 00:00:00,1,0,2025-09-15 23:18:06,0,2025-09-15 23:18:06,,,
2018-06,全国,7569.00,6668.00,901.00,47,2018-06-30 00:00:00,1,0,2025-09-15 23:18:06,0,2025-09-15 23:18:06,,,
2018-05,全国,6821.00,6485.00,336.00,48,2018-05-31 00:00:00,1,0,2025-09-15 23:18:06,0,2025-09-15 23:18:06,,,
2018-04,全国,6266.00,5649.00,617.00,49,2018-04-30 00:00:00,1,0,2025-09-15 23:18:06,0,2025-09-15 23:18:06,,,
2018-03,全国,6230.00,5007.00,1223.00,50,2018-03-31 00:00:00,1,0,2025-09-15 23:18:06,0,2025-09-15 23:18:06,,,
2018-02,全国,6468.00,5599.00,869.00,51,2018-02-28 00:00:00,1,0,2025-09-15 23:18:06,0,2025-09-15 23:18:06,,,
2018-01,全国,,,,52,2018-01-31 00:00:00,1,0,2025-09-15 23:18:06,0,2025-09-15 23:18:06,,,
2017-12,全国,6499.00,6546.00,-47.00,53,2017-12-31 00:00:00,1,0,2025-09-15 23:18:06,0,2025-09-15 23:18:06,,,
2017-11,全国,7792.00,6989.00,803.00,54,2017-11-30 00:00:00,1,0,2025-09-15 23:18:06,0,2025-09-15 23:18:06,,,
2017-10,全国,7745.00,6559.00,1186.00,55,2017-10-31 00:00:00,1,0,2025-09-15 23:18:06,0,2025-09-15 23:18:06,,,
2017-09,全国,,,,56,2017-09-30 00:00:00,1,0,2025-09-15 23:18:06,0,2025-09-15 23:18:06,,,
2017-08,全国,5663.00,4993.00,670.00,57,2017-08-31 00:00:00,1,0,2025-09-15 23:18:06,0,2025-09-15 23:18:06,,,
2017-07,全国,5848.00,5117.00,731.00,58,2017-07-31 00:00:00,1,0,2025-09-15 23:18:06,0,2025-09-15 23:18:06,,,
2017-06,全国,6668.00,5458.00,1210.00,59,2017-06-30 00:00:00,1,0,2025-09-15 23:18:06,0,2025-09-15 23:18:06,,,
2017-05,全国,6485.00,5432.00,1053.00,60,2017-05-31 00:00:00,1,0,2025-09-15 23:18:06,0,2025-09-15 23:18:06,,,
2017-03,全国,5006.00,5877.00,-871.00,61,2017-03-31 00:00:00,1,0,2025-09-15 23:18:08,0,2025-09-15 23:18:08,,,
2017-03,华北地区,1396.00,1384.00,12.00,62,2017-03-31 00:00:00,1,0,2025-09-15 23:18:08,0,2025-09-15 23:18:08,,,
2017-03,东北地区,464.00,577.00,-113.00,63,2017-03-31 00:00:00,1,0,2025-09-15 23:18:08,0,2025-09-15 23:18:08,,,
2017-03,华东地区,998.00,1126.00,-128.00,64,2017-03-31 00:00:00,1,0,2025-09-15 23:18:08,0,2025-09-15 23:18:08,,,
2017-03,华中地区,914.00,1145.00,-231.00,65,2017-03-31 00:00:00,1,0,2025-09-15 23:18:08,0,2025-09-15 23:18:08,,,
2017-03,西北地区,574.00,574.00,0.00,66,2017-03-31 00:00:00,1,0,2025-09-15 23:18:08,0,2025-09-15 23:18:08,,,
2017-03,中国南方,661.00,1071.00,-410.00,67,2017-03-31 00:00:00,1,0,2025-09-15 23:18:08,0,2025-09-15 23:18:08,,,
2017-02,全国,5599.00,6479.00,-880.00,68,2017-02-28 00:00:00,1,0,2025-09-15 23:18:08,0,2025-09-15 23:18:08,,,
2017-01,全国,,,,69,2017-01-31 00:00:00,1,0,2025-09-15 23:18:08,0,2025-09-15 23:18:08,,,
