时间,交易品种,成交量(吨),成交额（元）,收盘价(元/吨),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-03-22,BEA,1090.00,118810.00,109.00,36,2024-03-22 00:00:00,1,0,2024-07-21 05:07:49,0,2024-07-21 05:07:49,,,
2024-03-21,BEA,8572.00,692617.60,80.80,37,2024-03-21 00:00:00,1,0,2024-07-21 05:07:49,0,2024-07-21 05:07:49,,,
2024-03-20,BEA,171.00,17271.00,101.00,38,2024-03-20 00:00:00,1,0,2024-07-21 05:07:49,0,2024-07-21 05:07:49,,,
2024-03-12,BEA,50.00,5500.00,110.00,39,2024-03-12 00:00:00,1,0,2024-07-21 05:07:49,0,2024-07-21 05:07:49,,,
2024-03-11,BEA,4000.00,380800.00,95.20,40,2024-03-11 00:00:00,1,0,2024-07-21 05:07:49,0,2024-07-21 05:07:49,,,
2024-03-08,BEA,100.00,11900.00,119.00,41,2024-03-08 00:00:00,1,0,2024-07-21 05:07:49,0,2024-07-21 05:07:49,,,
2024-02-21,BEA,1000.00,115000.00,115.00,42,2024-02-21 00:00:00,1,0,2024-07-21 05:07:49,0,2024-07-21 05:07:49,,,
2024-01-31,BEA,100.00,11800.00,118.00,43,2024-01-31 00:00:00,1,0,2024-07-21 05:07:49,0,2024-07-21 05:07:49,,,
2024-01-22,BEA,6200.00,654000.00,105.48,44,2024-01-22 00:00:00,1,0,2024-07-21 05:07:49,0,2024-07-21 05:07:49,,,
2024-01-15,BEA,10300.00,1112500.00,108.01,45,2024-01-15 00:00:00,1,0,2024-07-21 05:07:49,0,2024-07-21 05:07:49,,,
2023-12-22,BEA,79.00,8799.00,111.38,46,2023-12-22 00:00:00,1,0,2024-07-21 05:07:49,0,2024-07-21 05:07:49,,,
2023-12-19,BEA,3104.00,347648.00,112.00,47,2023-12-19 00:00:00,1,0,2024-07-21 05:07:49,0,2024-07-21 05:07:49,,,
2023-12-11,BEA,11.00,1276.00,116.00,48,2023-12-11 00:00:00,1,0,2024-07-21 05:07:49,0,2024-07-21 05:07:49,,,
2023-12-08,BEA,13899.00,1598385.00,115.00,49,2023-12-08 00:00:00,1,0,2024-07-21 05:07:49,0,2024-07-21 05:07:49,,,
