时间,项目名称,累计值(万千伏安),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05,新增变电设备容量,6253.00,1,2024-05-31 00:00:00,1,0,2024-07-20 16:04:23,0,2024-07-20 16:04:23,,,
2024-04,新增变电设备容量,4931.00,2,2024-04-30 00:00:00,1,0,2024-07-20 16:04:23,0,2024-07-20 16:04:23,,,
2024-03,新增变电设备容量,3878.00,3,2024-03-31 00:00:00,1,0,2024-07-20 16:04:23,0,2024-07-20 16:04:23,,,
2024-02,新增变电设备容量,2406.00,4,2024-02-29 00:00:00,1,0,2024-07-20 16:04:23,0,2024-07-20 16:04:23,,,
2023-11,新增变电设备容量,20152.00,5,2023-11-30 00:00:00,1,0,2024-07-20 16:04:23,0,2024-07-20 16:04:23,,,
2023-10,新增变电设备容量,16857.00,6,2023-10-31 00:00:00,1,0,2024-07-20 16:04:23,0,2024-07-20 16:04:23,,,
2023-09,新增变电设备容量,15642.00,7,2023-09-30 00:00:00,1,0,2024-07-20 16:04:23,0,2024-07-20 16:04:23,,,
2023-08,新增变电设备容量,14165.00,8,2023-08-31 00:00:00,1,0,2024-07-20 16:04:23,0,2024-07-20 16:04:23,,,
2023-07,新增变电设备容量,13111.00,9,2023-07-31 00:00:00,1,0,2024-07-20 16:04:23,0,2024-07-20 16:04:23,,,
2023-06,新增变电设备容量,12585.00,10,2023-06-30 00:00:00,1,0,2024-07-20 16:04:23,0,2024-07-20 16:04:23,,,
2023-05,新增变电设备容量,6636.00,11,2023-05-31 00:00:00,1,0,2024-07-20 16:04:23,0,2024-07-20 16:04:23,,,
2023-04,新增变电设备容量,4854.00,12,2023-04-30 00:00:00,1,0,2024-07-20 16:04:23,0,2024-07-20 16:04:23,,,
2023-03,新增变电设备容量,4273.00,13,2023-03-31 00:00:00,1,0,2024-07-20 16:04:23,0,2024-07-20 16:04:23,,,
2023-02,新增变电设备容量,2240.00,14,2023-02-28 00:00:00,1,0,2024-07-20 16:04:23,0,2024-07-20 16:04:23,,,
2022-12,新增变电设备容量,25839.00,15,2022-12-31 00:00:00,1,0,2024-07-20 16:04:23,0,2024-07-20 16:04:23,,,
2022-11,新增变电设备容量,20689.00,16,2022-11-30 00:00:00,1,0,2024-07-20 16:04:23,0,2024-07-20 16:04:23,,,
2022-10,新增变电设备容量,19205.00,17,2022-10-31 00:00:00,1,0,2024-07-20 16:04:23,0,2024-07-20 16:04:23,,,
2022-09,新增变电设备容量,18772.00,18,2022-09-30 00:00:00,1,0,2024-07-20 16:04:23,0,2024-07-20 16:04:23,,,
2022-08,新增变电设备容量,16049.00,19,2022-08-31 00:00:00,1,0,2024-07-20 16:04:23,0,2024-07-20 16:04:23,,,
2022-07,新增变电设备容量,14891.00,20,2022-07-31 00:00:00,1,0,2024-07-20 16:04:23,0,2024-07-20 16:04:23,,,
2022-06,新增变电设备容量,13612.00,21,2022-06-30 00:00:00,1,0,2024-07-20 16:04:23,0,2024-07-20 16:04:23,,,
2022-05,新增变电设备容量,9466.00,22,2022-05-31 00:00:00,1,0,2024-07-20 16:04:23,0,2024-07-20 16:04:23,,,
2022-04,新增变电设备容量,6964.00,23,2022-04-30 00:00:00,1,0,2024-07-20 16:04:23,0,2024-07-20 16:04:23,,,
2022-03,新增变电设备容量,5941.00,24,2022-03-31 00:00:00,1,0,2024-07-20 16:04:23,0,2024-07-20 16:04:23,,,
2022-02,新增变电设备容量,3300.00,25,2022-02-28 00:00:00,1,0,2024-07-20 16:04:23,0,2024-07-20 16:04:23,,,
2021-12,新增变电设备容量,24334.00,26,2021-12-31 00:00:00,1,0,2024-07-20 16:04:23,0,2024-07-20 16:04:23,,,
2021-11,新增变电设备容量,19395.00,27,2021-11-30 00:00:00,1,0,2024-07-20 16:04:23,0,2024-07-20 16:04:23,,,
2021-10,新增变电设备容量,17927.00,28,2021-10-31 00:00:00,1,0,2024-07-20 16:04:23,0,2024-07-20 16:04:23,,,
2021-09,新增变电设备容量,17282.00,29,2021-09-30 00:00:00,1,0,2024-07-20 16:04:23,0,2024-07-20 16:04:23,,,
2021-08,新增变电设备容量,15599.00,30,2021-08-31 00:00:00,1,0,2024-07-20 16:04:23,0,2024-07-20 16:04:23,,,
2021-07,新增变电设备容量,14799.00,31,2021-07-31 00:00:00,1,0,2024-07-20 16:04:26,0,2024-07-20 16:04:26,,,
2021-06,新增变电设备容量,13733.00,32,2021-06-30 00:00:00,1,0,2024-07-20 16:04:26,0,2024-07-20 16:04:26,,,
2021-05,新增变电设备容量,9428.00,33,2021-05-31 00:00:00,1,0,2024-07-20 16:04:26,0,2024-07-20 16:04:26,,,
2021-04,新增变电设备容量,7084.00,34,2021-04-30 00:00:00,1,0,2024-07-20 16:04:26,0,2024-07-20 16:04:26,,,
2021-03,新增变电设备容量,5766.00,35,2021-03-31 00:00:00,1,0,2024-07-20 16:04:26,0,2024-07-20 16:04:26,,,
2021-02,新增变电设备容量,2171.00,36,2021-02-28 00:00:00,1,0,2024-07-20 16:04:26,0,2024-07-20 16:04:26,,,
2020-12,新增变电设备容量,22288.00,37,2020-12-31 00:00:00,1,0,2024-07-20 16:04:26,0,2024-07-20 16:04:26,,,
2020-11,新增变电设备容量,19160.00,38,2020-11-30 00:00:00,1,0,2024-07-20 16:04:26,0,2024-07-20 16:04:26,,,
2020-10,新增变电设备容量,17195.00,39,2020-10-31 00:00:00,1,0,2024-07-20 16:04:26,0,2024-07-20 16:04:26,,,
2020-09,新增变电设备容量,16202.00,40,2020-09-30 00:00:00,1,0,2024-07-20 16:04:26,0,2024-07-20 16:04:26,,,
2020-08,新增变电设备容量,13190.00,41,2020-08-31 00:00:00,1,0,2024-07-20 16:04:26,0,2024-07-20 16:04:26,,,
2020-07,新增变电设备容量,11676.00,42,2020-07-31 00:00:00,1,0,2024-07-20 16:04:26,0,2024-07-20 16:04:26,,,
2020-06,新增变电设备容量,10894.00,43,2020-06-30 00:00:00,1,0,2024-07-20 16:04:26,0,2024-07-20 16:04:26,,,
2020-05,新增变电设备容量,6082.00,44,2020-05-31 00:00:00,1,0,2024-07-20 16:04:26,0,2024-07-20 16:04:26,,,
2020-04,新增变电设备容量,4938.00,45,2020-04-30 00:00:00,1,0,2024-07-20 16:04:26,0,2024-07-20 16:04:26,,,
2020-03,新增变电设备容量,4415.00,46,2020-03-31 00:00:00,1,0,2024-07-20 16:04:26,0,2024-07-20 16:04:26,,,
