时间,项目名称,累计值(万千伏安),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2020-02,新增变电设备容量,2126.00,47,2020-02-29 00:00:00,1,0,2024-07-20 16:04:26,0,2024-07-20 16:04:26,,,
2019-12,新增变电设备容量,23042.00,48,2019-12-31 00:00:00,1,0,2024-07-20 16:04:26,0,2024-07-20 16:04:26,,,
2019-11,新增变电设备容量,19263.00,49,2019-11-30 00:00:00,1,0,2024-07-20 16:04:26,0,2024-07-20 16:04:26,,,
2019-10,新增变电设备容量,18098.00,50,2019-10-31 00:00:00,1,0,2024-07-20 16:04:26,0,2024-07-20 16:04:26,,,
2019-09,新增变电设备容量,17061.00,51,2019-09-30 00:00:00,1,0,2024-07-20 16:04:26,0,2024-07-20 16:04:26,,,
2019-08,新增变电设备容量,15248.00,52,2019-08-31 00:00:00,1,0,2024-07-20 16:04:26,0,2024-07-20 16:04:26,,,
2019-07,新增变电设备容量,14626.00,53,2019-07-31 00:00:00,1,0,2024-07-20 16:04:26,0,2024-07-20 16:04:26,,,
2019-06,新增变电设备容量,13238.00,54,2019-06-30 00:00:00,1,0,2024-07-20 16:04:26,0,2024-07-20 16:04:26,,,
2019-05,新增变电设备容量,9829.00,55,2019-05-31 00:00:00,1,0,2024-07-20 16:04:26,0,2024-07-20 16:04:26,,,
2019-04,新增变电设备容量,7621.00,56,2019-04-30 00:00:00,1,0,2024-07-20 16:04:26,0,2024-07-20 16:04:26,,,
2019-03,新增变电设备容量,6172.00,57,2019-03-31 00:00:00,1,0,2024-07-20 16:04:26,0,2024-07-20 16:04:26,,,
2019-02,新增变电设备容量,3683.00,58,2019-02-28 00:00:00,1,0,2024-07-20 16:04:26,0,2024-07-20 16:04:26,,,
2018-12,新增变电设备容量,22082.00,59,2018-12-31 00:00:00,1,0,2024-07-20 16:04:26,0,2024-07-20 16:04:26,,,
2018-11,新增变电设备容量,19490.00,60,2018-11-30 00:00:00,1,0,2024-07-20 16:04:26,0,2024-07-20 16:04:26,,,
2018-10,新增变电设备容量,19250.00,61,2018-10-31 00:00:00,1,0,2024-07-20 16:04:29,0,2024-07-20 16:04:29,,,
2018-09,新增变电设备容量,18691.00,62,2018-09-30 00:00:00,1,0,2024-07-20 16:04:29,0,2024-07-20 16:04:29,,,
2018-08,新增变电设备容量,16884.00,63,2018-08-31 00:00:00,1,0,2024-07-20 16:04:29,0,2024-07-20 16:04:29,,,
2018-07,新增变电设备容量,15888.00,64,2018-07-31 00:00:00,1,0,2024-07-20 16:04:29,0,2024-07-20 16:04:29,,,
2018-06,新增变电设备容量,14981.00,65,2018-06-30 00:00:00,1,0,2024-07-20 16:04:29,0,2024-07-20 16:04:29,,,
2018-05,新增变电设备容量,11142.00,66,2018-05-31 00:00:00,1,0,2024-07-20 16:04:29,0,2024-07-20 16:04:29,,,
2018-04,新增变电设备容量,7262.00,67,2018-04-30 00:00:00,1,0,2024-07-20 16:04:29,0,2024-07-20 16:04:29,,,
2018-03,新增变电设备容量,6341.00,68,2018-03-31 00:00:00,1,0,2024-07-20 16:04:29,0,2024-07-20 16:04:29,,,
2018-02,新增变电设备容量,3652.00,69,2018-02-28 00:00:00,1,0,2024-07-20 16:04:29,0,2024-07-20 16:04:29,,,
2017-12,新增变电设备容量,24263.00,70,2017-12-31 00:00:00,1,0,2024-07-20 16:04:29,0,2024-07-20 16:04:29,,,
2017-11,新增变电设备容量,21239.00,71,2017-11-30 00:00:00,1,0,2024-07-20 16:04:29,0,2024-07-20 16:04:29,,,
2017-10,新增变电设备容量,20597.00,72,2017-10-31 00:00:00,1,0,2024-07-20 16:04:29,0,2024-07-20 16:04:29,,,
2017-09,新增变电设备容量,20374.00,73,2017-09-30 00:00:00,1,0,2024-07-20 16:04:29,0,2024-07-20 16:04:29,,,
2017-08,新增变电设备容量,18548.00,74,2017-08-31 00:00:00,1,0,2024-07-20 16:04:29,0,2024-07-20 16:04:29,,,
2017-07,新增变电设备容量,16759.00,75,2017-07-31 00:00:00,1,0,2024-07-20 16:04:29,0,2024-07-20 16:04:29,,,
2017-06,新增变电设备容量,14629.00,76,2017-06-30 00:00:00,1,0,2024-07-20 16:04:29,0,2024-07-20 16:04:29,,,
2017-05,新增变电设备容量,11014.00,77,2017-05-31 00:00:00,1,0,2024-07-20 16:04:29,0,2024-07-20 16:04:29,,,
2017-04,新增变电设备容量,8389.00,78,2017-04-30 00:00:00,1,0,2024-07-20 16:04:29,0,2024-07-20 16:04:29,,,
2017-03,新增变电设备容量,6714.00,79,2017-03-31 00:00:00,1,0,2024-07-20 16:04:29,0,2024-07-20 16:04:29,,,
2017-02,新增变电设备容量,3109.00,80,2017-02-28 00:00:00,1,0,2024-07-20 16:04:29,0,2024-07-20 16:04:29,,,
2024-09,新增变电设备容量,16869.00,158,2024-09-30 00:00:00,1,0,2024-11-07 01:52:22,0,2024-11-07 01:52:22,,,
2024-08,新增变电设备容量,13832.00,159,2024-08-31 00:00:00,1,0,2024-11-07 01:52:22,0,2024-11-07 01:52:22,,,
2024-07,新增变电设备容量,13133.00,160,2024-07-31 00:00:00,1,0,2024-11-07 01:52:22,0,2024-11-07 01:52:22,,,
2024-06,新增变电设备容量,12256.00,161,2024-06-30 00:00:00,1,0,2024-11-07 01:52:22,0,2024-11-07 01:52:22,,,
2024-10,新增变电设备容量,18775.00,162,2024-10-31 00:00:00,1,0,2024-11-28 23:17:05,0,2024-11-28 23:17:05,,,
2024-11,新增变电设备容量,21928.00,163,2024-11-30 00:00:00,1,0,2025-01-03 23:17:22,0,2025-01-03 23:17:22,,,
2024-12,新增变电设备容量,32119.00,164,2024-12-31 00:00:00,1,0,2025-02-10 23:17:17,0,2025-02-10 23:17:17,,,
2025-02,新增变电设备容量,3326.00,165,2025-02-28 00:00:00,1,0,2025-03-31 23:16:48,0,2025-03-31 23:16:48,,,
2025-03,新增变电设备容量,5798.00,166,2025-03-31 00:00:00,1,0,2025-05-05 23:17:22,0,2025-05-05 23:17:22,,,
2025-04,新增变电设备容量,7640.00,167,2025-04-30 00:00:00,1,0,2025-05-27 23:17:03,0,2025-05-27 23:17:03,,,
2025-05,新增变电设备容量,9804.00,168,2025-05-31 00:00:00,1,0,2025-06-30 23:17:24,0,2025-06-30 23:17:24,,,
2025-06,新增变电设备容量,15843.00,169,2025-06-30 00:00:00,1,0,2025-08-20 23:16:52,0,2025-08-20 23:16:52,,,
2025-07,新增变电设备容量,17769.00,170,2025-07-31 00:00:00,1,0,2025-08-28 23:16:22,0,2025-08-28 23:16:22,,,
