时间,地区/港口,产品名称,灰份,发热量,本期价格(美元/吨),较上期,价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-11,卡里曼丹,动力煤2#,,3800(GAR),43.50,-0.20,FOB,1,2024-07-11 00:00:00,1,0,2024-07-17 13:23:27,0,2024-07-17 13:23:27,,,
2024-07-11,卡里曼丹,动力煤1#,,4200(GAR),52.30,0.00,FOB,2,2024-07-11 00:00:00,1,0,2024-07-17 13:23:27,0,2024-07-17 13:23:27,,,
2024-07-10,卡里曼丹,动力煤2#,,3800(GAR),43.70,-0.15,FOB,3,2024-07-10 00:00:00,1,0,2024-07-17 13:23:27,0,2024-07-17 13:23:27,,,
2024-07-10,卡里曼丹,动力煤1#,,4200(GAR),52.30,-0.20,FOB,4,2024-07-10 00:00:00,1,0,2024-07-17 13:23:27,0,2024-07-17 13:23:27,,,
2024-07-09,卡里曼丹,动力煤2#,,3800(GAR),43.85,-0.15,FOB,5,2024-07-09 00:00:00,1,0,2024-07-17 13:23:27,0,2024-07-17 13:23:27,,,
2024-07-09,卡里曼丹,动力煤1#,,4200(GAR),52.50,-0.25,FOB,6,2024-07-09 00:00:00,1,0,2024-07-17 13:23:27,0,2024-07-17 13:23:27,,,
2024-07-08,卡里曼丹,动力煤2#,,3800(GAR),44.00,0.00,FOB,7,2024-07-08 00:00:00,1,0,2024-07-17 13:23:27,0,2024-07-17 13:23:27,,,
2024-07-08,卡里曼丹,动力煤1#,,4200(GAR),52.75,-0.25,FOB,8,2024-07-08 00:00:00,1,0,2024-07-17 13:23:27,0,2024-07-17 13:23:27,,,
2024-07-05,卡里曼丹,动力煤2#,,3800(GAR),44.00,-0.15,FOB,9,2024-07-05 00:00:00,1,0,2024-07-17 13:23:27,0,2024-07-17 13:23:27,,,
2024-07-05,卡里曼丹,动力煤1#,,4200(GAR),53.00,-0.20,FOB,10,2024-07-05 00:00:00,1,0,2024-07-17 13:23:27,0,2024-07-17 13:23:27,,,
2024-07-04,卡里曼丹,动力煤2#,,3800(GAR),44.15,-0.10,FOB,11,2024-07-04 00:00:00,1,0,2024-07-17 13:23:27,0,2024-07-17 13:23:27,,,
2024-07-04,卡里曼丹,动力煤1#,,4200(GAR),53.20,-0.20,FOB,12,2024-07-04 00:00:00,1,0,2024-07-17 13:23:27,0,2024-07-17 13:23:27,,,
2024-07-03,卡里曼丹,动力煤2#,,3800(GAR),44.25,0.15,FOB,13,2024-07-03 00:00:00,1,0,2024-07-17 13:23:27,0,2024-07-17 13:23:27,,,
2024-07-03,卡里曼丹,动力煤1#,,4200(GAR),53.40,0.20,FOB,14,2024-07-03 00:00:00,1,0,2024-07-17 13:23:27,0,2024-07-17 13:23:27,,,
2024-07-02,卡里曼丹,动力煤2#,,3800(GAR),44.10,0.00,FOB,15,2024-07-02 00:00:00,1,0,2024-07-17 13:23:27,0,2024-07-17 13:23:27,,,
2024-07-02,卡里曼丹,动力煤1#,,4200(GAR),53.20,-0.15,FOB,16,2024-07-02 00:00:00,1,0,2024-07-17 13:23:27,0,2024-07-17 13:23:27,,,
2024-07-01,卡里曼丹,动力煤2#,,3800(GAR),44.10,0.10,FOB,17,2024-07-01 00:00:00,1,0,2024-07-17 13:23:27,0,2024-07-17 13:23:27,,,
2024-07-01,卡里曼丹,动力煤1#,,4200(GAR),53.35,0.00,FOB,18,2024-07-01 00:00:00,1,0,2024-07-17 13:23:27,0,2024-07-17 13:23:27,,,
