时间,地区,当月值(亿立方米),同比增长(%),累计值(亿立方米),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05,甘肃省,0.60,-3.10,2.90,-4.30,36,2024-05-31 00:00:00,1,0,2024-07-21 02:25:49,0,2024-07-21 02:25:49,,,
2024-05,陕西省,31.20,14.20,150.40,7.70,37,2024-05-31 00:00:00,1,0,2024-07-21 02:25:49,0,2024-07-21 02:25:49,,,
2024-05,西藏区,0.00,0.00,0.00,0.00,38,2024-05-31 00:00:00,1,0,2024-07-21 02:25:49,0,2024-07-21 02:25:49,,,
2024-05,云南省,0.00,0.00,0.10,0.00,39,2024-05-31 00:00:00,1,0,2024-07-21 02:25:49,0,2024-07-21 02:25:49,,,
2024-05,贵州省,0.90,12.30,4.40,13.20,40,2024-05-31 00:00:00,1,0,2024-07-21 02:25:49,0,2024-07-21 02:25:49,,,
2024-05,四川省,50.60,5.20,264.80,7.60,41,2024-05-31 00:00:00,1,0,2024-07-21 02:25:49,0,2024-07-21 02:25:49,,,
2024-05,重庆市,8.50,6.00,42.70,9.60,42,2024-05-31 00:00:00,1,0,2024-07-21 02:25:49,0,2024-07-21 02:25:49,,,
2024-05,海南省,3.00,-4.80,14.60,1.10,43,2024-05-31 00:00:00,1,0,2024-07-21 02:25:49,0,2024-07-21 02:25:49,,,
2024-05,广西区,0.00,-19.60,0.10,-17.40,44,2024-05-31 00:00:00,1,0,2024-07-21 02:25:49,0,2024-07-21 02:25:49,,,
2024-05,广东省,10.70,9.80,53.20,5.40,45,2024-05-31 00:00:00,1,0,2024-07-21 02:25:49,0,2024-07-21 02:25:49,,,
2024-05,湖南省,0.00,78.10,0.10,47.10,46,2024-05-31 00:00:00,1,0,2024-07-21 02:25:49,0,2024-07-21 02:25:49,,,
2024-05,湖北省,0.20,34.00,0.90,36.70,47,2024-05-31 00:00:00,1,0,2024-07-21 02:25:49,0,2024-07-21 02:25:49,,,
2024-05,河南省,0.40,5.30,1.90,12.70,48,2024-05-31 00:00:00,1,0,2024-07-21 02:25:49,0,2024-07-21 02:25:49,,,
2024-05,山东省,0.70,-4.10,3.50,0.30,49,2024-05-31 00:00:00,1,0,2024-07-21 02:25:49,0,2024-07-21 02:25:49,,,
2024-05,江西省,0.00,-4.70,0.00,9.40,50,2024-05-31 00:00:00,1,0,2024-07-21 02:25:49,0,2024-07-21 02:25:49,,,
2024-05,福建省,0.00,0.00,0.00,0.00,51,2024-05-31 00:00:00,1,0,2024-07-21 02:25:49,0,2024-07-21 02:25:49,,,
2024-05,安徽省,0.20,-1.20,1.30,10.70,52,2024-05-31 00:00:00,1,0,2024-07-21 02:25:49,0,2024-07-21 02:25:49,,,
2024-05,浙江省,0.00,0.00,0.00,0.00,53,2024-05-31 00:00:00,1,0,2024-07-21 02:25:49,0,2024-07-21 02:25:49,,,
2024-05,江苏省,0.10,116.30,0.50,65.90,54,2024-05-31 00:00:00,1,0,2024-07-21 02:25:49,0,2024-07-21 02:25:49,,,
2024-05,上海市,4.30,26.20,19.70,32.10,55,2024-05-31 00:00:00,1,0,2024-07-21 02:25:49,0,2024-07-21 02:25:49,,,
2024-05,黑龙江省,4.50,2.90,23.60,-3.70,56,2024-05-31 00:00:00,1,0,2024-07-21 02:25:49,0,2024-07-21 02:25:49,,,
2024-05,吉林省,1.50,-3.10,7.70,-4.90,57,2024-05-31 00:00:00,1,0,2024-07-21 02:25:49,0,2024-07-21 02:25:49,,,
2024-05,辽宁省,0.70,-7.90,3.50,-5.20,58,2024-05-31 00:00:00,1,0,2024-07-21 02:25:49,0,2024-07-21 02:25:49,,,
2024-05,内蒙古区,27.00,-0.30,139.00,1.60,59,2024-05-31 00:00:00,1,0,2024-07-21 02:25:49,0,2024-07-21 02:25:49,,,
2024-05,山西省,14.70,19.70,66.90,12.50,60,2024-05-31 00:00:00,1,0,2024-07-21 02:25:49,0,2024-07-21 02:25:49,,,
2024-05,河北省,0.40,-24.30,2.20,-16.00,61,2024-05-31 00:00:00,1,0,2024-07-21 02:25:51,0,2024-07-21 02:25:51,,,
2024-05,天津市,3.80,8.40,18.40,5.40,62,2024-05-31 00:00:00,1,0,2024-07-21 02:25:51,0,2024-07-21 02:25:51,,,
2024-05,北京市,0.10,-8.90,0.50,-9.70,63,2024-05-31 00:00:00,1,0,2024-07-21 02:25:51,0,2024-07-21 02:25:51,,,
2024-05,全国,202.70,6.30,1032.80,5.20,64,2024-05-31 00:00:00,1,0,2024-07-21 02:25:51,0,2024-07-21 02:25:51,,,
2024-04,全国,198.40,3.20,830.10,5.00,65,2024-04-30 00:00:00,1,0,2024-07-21 02:25:51,0,2024-07-21 02:25:51,,,
2024-04,新疆区,35.20,-4.20,150.20,,66,2024-04-30 00:00:00,1,0,2024-07-21 02:25:51,0,2024-07-21 02:25:51,,,
2024-04,宁夏区,0.20,20.90,1.00,137.80,67,2024-04-30 00:00:00,1,0,2024-07-21 02:25:51,0,2024-07-21 02:25:51,,,
2024-04,青海省,4.90,-0.90,20.10,-2.50,68,2024-04-30 00:00:00,1,0,2024-07-21 02:25:51,0,2024-07-21 02:25:51,,,
2024-04,甘肃省,0.60,-7.40,2.30,-4.70,69,2024-04-30 00:00:00,1,0,2024-07-21 02:25:51,0,2024-07-21 02:25:51,,,
2024-04,陕西省,29.30,9.40,119.20,6.10,70,2024-04-30 00:00:00,1,0,2024-07-21 02:25:51,0,2024-07-21 02:25:51,,,
2024-04,西藏区,,,,,71,2024-04-30 00:00:00,1,0,2024-07-21 02:25:51,0,2024-07-21 02:25:51,,,
