date,存煤量,CCI4500,CCI5000,CCI5500,CCI进口3800,CCI进口4700,CCI进口5500
20250101,777520,,,,,,
20250102,758184,576,674,770,463.21,649.32,766.78
20250103,905106,579,676,770,463.84,650.21,767.82
20250104,887916,,,,,,
20250105,864017,,,,,,
20250106,985860,582,678,771,465.11,651.98,769.92
20250107,965789,585,680,772,465.11,651.98,769.92
20250108,943150,587,681,772,465.11,651.98,769.92
20250109,924087,589,681,772,465.11,651.98,769.92
20250110,906431,589,681,772,462.62,647.83,768.26
20250111,953108,,,,,,
20250112,932725,,,,,,
20250113,914086,589,681,772,460.96,647.83,768.26
20250114,889367,588,679,770,460.96,647.83,768.26
20250115,865081,587,677,768,460.12,646.17,768.26
20250116,844804,587,675,767,459.29,646.17,767.43
20250117,976916,587,673,765,456.8,646.17,767.43
20250118,953504,,,,,,
20250119,928630,,,,,,
20250120,980223,587,671,762,455.56,644.41,765.34
20250121,962413,587,671,761,449.57,641.77,760.56
20250122,942985,587,671,761,449.57,641.77,760.56
20250123,923728,587,671,761,449.57,641.77,756.43
20250124,977178,587,671,761,447.72,639.13,750.04
20250125,961954,,,,,,
20250126,950980,587,671,761,447.72,639.13,750.04
20250127,941165,587,671,761,448.34,640.01,751.07
20250128,930691,,,,,,
20250129,980893,,,,,,
20250130,972084,,,,,,
20250131,961090,,,,,,
20250201,1028402,,,,,,
20250202,1017257,,,,,,
20250203,1080220,,,,,,
20250204,1069152,,,,,,
20250205,1058484,587,671,761,448.95,640.89,752.1
20250206,1048119,587,671,761,450.19,642.65,751.69
20250207,1040014,587,671,761,450.19,642.65,751.69
20250208,1030651,585,670,760,450.19,642.65,751.69
20250209,1021106,,,,,,
20250210,1009944,584,668,758,451.42,644.41,743.8
20250211,992560,582,665,755,455.56,644.41,737.18
20250212,970553,581,664,753,458.04,644.41,734.69
20250213,1022862,580,661,750,459.27,646.78,732.69
20250214,1064478,578,659,748,459.03,645.77,729.68
20250215,1041451,,,,,,
20250216,1092171,,,,,,
20250217,1071564,575,656,745,459.03,645.77,728.04
20250218,1051342,570,651,740,461.94,649.2,725.91
20250219,1028452,565,646,735,465.24,650.02,721.79
20250220,1004186,562,641,732,467.26,649.89,719.81
20250221,980300,559,636,728,468.26,650.64,714.71
20250222,956443,,,,,,
20250223,931788,,,,,,
20250224,986165,555,630,721,469.26,649.74,713.73
20250225,953196,550,625,717,470.55,651.53,707.47
20250226,918813,542,618,709,469.9,650.64,699.93
20250227,882585,537,612,703,471.2,652.43,691.97
20250228,848982,531,606,699,471.84,653.32,684.67
20250301,957167,,,,,,
20250302,931307,,,,,,
20250303,977184,527,602,695,472.49,654.22,685.6
20250304,950342,525,600,692,471.84,653.32,684.67
20250305,993241,523,600,689,469.9,650.64,681.85
20250306,971212,523,603,689,469.26,649.74,689.12
20250307,948461,525,605,691,471.07,651.3,696.36
20250308,925380,,,,,,
20250309,906762,,,,,,
20250310,1013526,527,607,693,473.02,654,699.24
20250311,994356,527,607,693,471.07,651.3,696.36
20250312,972935,527,607,693,471.72,652.2,697.32
20250313,954046,525,607,690,474.18,654.66,697.32
