date,存煤量,CCI4500,CCI5000,CCI5500,CCI进口3800,CCI进口4700,CCI进口5500
20250314,990993,525,605,688,473.53,653.76,698.82
20250315,972281,,,,,,
20250316,954549,,,,,,
20250317,934030,524,604,687,474.18,654.66,705.53
20250318,970742,522,602,685,472.87,652.86,703.58
20250319,1026565,520,600,682,473.53,653.76,702.92
20250320,1005089,520,598,680,474.18,654.66,703.89
20250321,1039487,518,596,678,470.73,652.28,703.21
20250322,1020342,,,,,,
20250323,1002453,,,,,,
20250324,1057872,518,595,676,469.08,650.64,698.28
20250325,1038793,518,594,674,468.9,649.89,696.78
20250326,1019811,520,594,674,468.9,649.89,696.78
20250327,1000856,522,594,672,468.9,649.89,691.02
20250328,978780,524,596,672,468.9,641.66,691.02
20250329,1026831,,,,,,
20250330,1006112,,,,,,
20250331,1044945,525,597,672,468.26,632.56,690.07
20250401,1021429,525,597,672,469.55,630.18,690.32
20250402,996485,525,597,672,469.55,630.18,690.32
20250403,1024262,525,597,672,469.83,628.64,693.16
20250404,1008142,,,,,,
20250405,980204,,,,,,
20250406,953433,,,,,,
20250407,1003325,525,597,672,470.47,629.5,694.11
20250408,969612,525,597,672,469.26,631.22,696
20250409,934668,525,597,672,468.04,631.27,692.9
20250410,974229,525,597,672,465.74,628.75,689.46
20250411,941195,525,597,672,462.82,625.38,687.59
20250412,911900,,,,,,
20250413,884339,,,,,,
20250414,912404,525,597,672,461.56,623.68,685.72
20250415,883601,525,597,672,462.19,624.53,686.65
20250416,853352,525,597,671,462.82,622.07,690.08
20250417,892779,525,596,671,461.56,616.23,690.68
20250418,858303,525,596,670,461.56,612.1,692.33
20250419,825962,,,,,,
20250420,794496,,,,,,
20250421,761348,523,594,668,456.79,605.48,691.39
20250422,730876,523,593,667,458.04,607.14,693.28
20250423,697518,522,591,665,456.79,605.48,691.39
20250424,667494,521,589,664,456.79,605.48,688.08
20250425,712277,518,586,662,457.82,606.3,687.14
20250426,691237,,,,,,
20250427,667442,517,585,661,457.82,606.3,687.14
20250428,714026,515,583,660,459.07,607.96,689.02
20250429,688177,514,580,659,456.57,604.64,685.26
20250430,715438,511,578,657,452.45,592.3,685.26
20250501,690710,,,,,,
20250502,667703,,,,,,
20250503,770896,,,,,,
20250504,746345,,,,,,
20250505,783652,,,,,,
20250506,823368,508,575,655,449.34,584.15,678.1
20250507,854321,502,570,650,448.33,580.87,679.04
20250508,889212,497,565,645,442.4,573.48,675.88
20250509,920696,493,560,640,443.01,561.96,676.81
20250510,894267,,,,,,
20250511,867096,,,,,,
20250512,912875,487,555,635,441.17,551.47,671.57
20250513,881918,485,552,632,440.56,548.26,670.64
20250514,913947,482,549,630,440.56,546.63,666.56
20250515,881461,479,546,627,437.09,543.3,665.85
20250516,921359,475,543,623,436.49,540.1,664.93
20250517,888353,,,,,,
20250518,852867,,,,,,
20250519,878791,472,539,620,433,536.76,661.76
20250520,917724,470,537,618,429.51,533.41,661.04
20250521,885721,470,537,618,428.33,531.94,659.21
20250522,845109,469,536,618,428.33,531.94,655.14
20250523,812023,469,536,618,427.73,531.2,648.53
20250524,912254,,,,,,
20250525,888633,,,,,,
20250526,863551,469,536,618,427.14,530.47,647.63
20250527,899097,469,536,618,427.73,531.2,648.53
20250528,945830,469,536,618,423.66,527.13,648.53
20250529,922276,469,536,618,422.03,525.5,648.53
20250530,1029553,469,536,618,422.03,525.5,648.53
20250531,1007867,,,,,,
20250601,983864,,,,,,
20250602,1029893,,,,,,
20250603,1067638,469,536,617,413.88,521.43,648.53
20250604,1043500,469,536,616,407.37,521.43,648.53
20250605,1016367,470,536,616,398.66,516.64,642.74
20250606,987700,471,536,616,398.66,516.64,642.74
20250607,1017207,,,,,,
20250608,986664,,,,,,
20250609,1011783,472,536,616,394.6,516.64,638.68
20250610,981318,472,536,616,394.6,516.64,638.68
20250611,956587,472,536,616,392.16,514.2,634.61
20250612,987223,472,536,615,392.16,514.2,634.61
20250613,1034199,472,536,615,390.53,512.57,634.61
20250614,1012158,,,,,,
20250615,992839,,,,,,
20250616,1111828,472,536,615,388.9,512.57,634.61
20250617,1086291,472,536,615,386.46,508.5,634.61
20250618,1056283,473,537,615,386.46,508.5,638.68
20250619,1087438,474,538,615,387,509.21,643.64
20250620,1132285,476,540,615,388.9,508.5,642.74
20250621,1104018,,,,,,
20250622,1074668,,,,,,
20250623,1114027,478,542,615,388.9,508.5,642.74
20250624,1137231,480,544,616,390.53,508.5,642.74
20250625,1098719,481,546,617,391.61,507.79,641.85
20250626,1117859,482,548,618,391.61,507.79,641.85
20250627,1079458,483,549,619,391.61,507.79,641.85
20250628,1041281,,,,,,
20250629,1078116,,,,,,
20250630,1097514,484,550,620,393.5,509.52,640.96
20250701,1059823,485,551,620,393.5,509.52,640.96
20250702,1083705,486,552,620,395.67,511.86,641.85
20250703,1042861,486,552,620,395.12,511.14,640.96
20250704,1006279,487,553,621,395.12,511.14,640.96
20250705,966682,,,,,,
20250706,936565,,,,,,
20250707,900491,488,554,622,395.67,513.48,641.85
20250708,935765,490,555,623,398.11,515.92,641.85
20250709,972987,492,557,625,398.66,519.08,642.74
20250710,1108081,494,559,627,398.66,520.7,645.18
20250711,1136891,496,561,629,401.1,523.14,646.81
20250712,1168281,,,,,,
20250713,1140702,,,,,,
20250714,1107563,498,563,630,402.17,524.04,649.98
20250715,1134114,500,565,632,404.61,526.48,654.04
20250716,1100568,503,568,634,405.17,527.21,654.95
20250717,1135003,505,570,636,406.8,528.84,654.95
20250718,1102064,508,573,639,406.8,528.84,654.95
20250719,1131305,,,,,,
20250720,1103805,,,,,,
20250721,1076872,511,576,642,408.67,530.54,655.66
20250722,1053582,514,578,644,408.67,530.54,655.66
20250723,1173227,516,580,646,408.1,529.81,654.75
20250724,1150691,517,581,648,407.54,529.07,653.84
20250725,1121731,519,582,650,410.3,530.54,658.1
20250726,1148467,,,,,,
20250727,1192485,,,,,,
20250728,1163490,521,583,651,412.73,532.98,662.16
20250729,1196974,521,584,652,412.73,532.98,662.16
20250730,1168383,522,586,654,413.31,533.72,663.08
20250731,1212638,525,589,657,413.88,534.46,666.45
20250801,1183900,529,593,660,415.03,535.95,668.3
20250802,1211743,,,,,,
20250803,1185704,,,,,,
20250804,1212329,535,599,666,414.36,534.61,666.23
20250805,1184812,540,605,671,417.14,537.72,670.52
20250806,1156099,544,610,675,417.14,537.72,672.15
20250807,1122888,548,614,679,416.56,536.98,679.36
20250808,1087155,551,618,683,416.56,536.98,683.42
20250809,1055002,,,,,,
20250810,1144313,,,,,,
20250811,1108652,554,622,687,419,541.04,691.56
20250812,1071095,556,625,690,421.22,543.42,696.59
20250813,1040995,557,628,694,424.11,545.98,696.29
20250814,1004850,557,630,697,430.61,552.48,698.72
20250815,1027309,557,632,700,432.84,554.88,707.83
20250816,1050213,,,,,,
20250817,1077145,,,,,,
20250818,1037894,557,632,703,432.84,554.88,707.83
20250819,994699,557,632,705,435.28,557.32,710.27
20250820,1023513,557,632,707,435.28,557.32,710.27
20250821,1042940,557,632,707,435.28,557.32,710.27
20250822,1077406,555,630,707,435.28,557.32,710.27
20250823,1032989,,,,,,
20250824,1063354,,,,,,
20250825,1019347,552,627,707,431.84,553.37,707.31
20250826,1105178,549,624,704,430.01,554.15,705.87
20250827,1063236,545,620,701,428.39,551.71,705.87
20250828,1023826,542,618,699,424.77,546.94,703.9
20250829,1040321,538,615,697,420.13,546.17,702.92
20250830,997164,,,,,,
20250831,954779,,,,,,
20250901,912769,536,612,695,417.71,543.75,700.49
20250902,1004119,533,609,692,416.68,542.08,699.05
20250903,961569,530,605,689,416.68,542.08,695.81
20250904,919688,528,601,687,416.68,542.08,694.19
20250905,878378,525,597,686,418.29,542.08,690.15
20250906,895552,,,,,,
20250907,851762,,,,,,
20250908,809711,523,593,684,420.13,541.33,686.76
20250909,767458,520,590,682,419.55,540.57,685.8
20250910,781929,519,588,681,421.97,544.6,681.76
20250911,885200,519,587,681,421.97,544.6,681.76
20250912,908263,520,589,683,421.97,544.6,681.76
20250913,866206,,,,,,
20250914,897136,,,,,,
20250915,855738,523,592,687,427.61,548.64,685.8
20250916,876367,527,597,690,429.43,551.9,688.86
20250917,837340,531,602,694,430.44,555.15,689.51
20250918,853340,535,608,699,431.04,555.93,692.89
20250919,875513,540,613,704,432.66,558.34,696.92
20250920,835157,,,,,,
20250921,862851,,,,,,
20250922,902985,543,616,707,433.86,559.95,700.95
20250923,872675,543,618,709,435.07,561.57,700.95
20250924,841397,543,618,709,435.68,562.35,701.93
20250925,809714,542,617,709,435.68,562.35,701.93
20250926,835911,541,616,708,436.29,563.14,702.92
20250927,802196,,,,,,
20250928,829905,539,615,707,436.29,563.14,702.92
20250929,786862,537,614,706,434.07,562.35,701.93
20250930,745231,537,614,706,434.07,562.35,701.93
20251001,764402,,,,,,
20251002,732285,,,,,,
20251003,757854,,,,,,
20251004,725167,,,,,,
20251005,692240,,,,,,
20251006,734157,,,,,,
20251007,699928,,,,,,
20251008,669287,,,,,,
20251009,857229,537,614,706,434.68,563.14,702.92
20251010,823558,538,616,708,435.68,562.35,701.93
20251011,789365,540,619,711,439.33,566.36,705.52
20251012,826147,,,,,,
20251013,792973,544,624,715,444.37,569.6,712.61
20251014,759499,549,630,720,447.42,578.49,720.08
20251015,725046,555,638,728,451.82,580.91,726.14
20251016,691627,562,647,737,454.24,584.94,734.21
20251017,659011,570,655,745,454.24,584.94,742.27
20251018,699269,,,,,,
20251019,740840,,,,,,
20251020,714004,576,662,753,454.24,584.94,746.31
20251021,693757,582,669,760,454.24,588.98,750.34
20251022,671651,587,675,767,456.66,593.01,756.8
20251023,646658,587,678,771,456.66,593.01,758.41
20251024,621744,587,678,773,456.66,593.01,760.2
20251025,596262,,,,,,
20251026,570475,,,,,,
20251027,617942,587,678,773,456.02,592.18,758.96
20251028,591671,587,678,773,455.38,591.35,757.9
20251029,567339,587,678,773,455.38,591.35,757.9
20251030,618616,587,678,773,456.02,592.18,758.96
20251031,588982,587,678,773,456.02,592.18,758.96
20251101,607321,,,,,,
20251102,582979,,,,,,
20251103,630827,592,683,779,459.89,597.05,768.09
20251104,607146,600,691,786,467.96,605.12,776.16
20251105,639659,608,700,795,476.02,617.22,790.68
20251106,690604,616,709,804,484.09,629.32,798.75
20251107,726559,624,718,813,488.13,641.42,806.82
20251108,699246,,,,,,
20251109,675579,,,,,,
20251110,651851,631,726,822,488.13,645.46,814.89
20251111,625251,637,733,829,488.13,645.46,817.31
20251112,599097,639,735,832,488.13,645.46,817.31
20251113,702490,639,735,832,486.08,642.74,813.87
20251114,752625,639,735,832,486.76,643.65,820.65
20251115,726393,,,,,,
20251116,701959,,,,,,
20251117,675258,639,735,832,489.17,647.67,828.7
20251118,646928,639,735,832,493.08,652.61,832.28
20251119,693167,639,735,832,493.08,652.61,832.28
20251120,668272,639,735,832,493.08,652.61,832.28
20251121,640343,639,735,832,493.08,652.61,832.28
20251122,742268,,,,,,
20251123,713455,,,,,,
20251124,738291,637,733,832,490.78,651.69,831.11
20251125,701089,634,730,830,490.09,650.78,829.94
20251126,743063,630,727,827,485.39,647.46,826.37
20251127,709023,627,725,825,481.38,645.85,823.96
20251128,673792,623,722,823,473.36,637.83,818.35
20251129,795173,,,,,,
20251130,814211,,,,,,
20251201,778763,618,717,818,464.68,628.92,809.18
20251202,746128,613,712,813,463.08,624.91,801.17
20251203,793090,608,707,808,460.02,620.03,796.04
20251204,771326,601,701,802,458.27,618.5,793.16
20251205,749006,,,,,,
20251206,727915,,,,,,
20251207,763528,,,,,,
20251208,812139,588,688,790,450.26,610.49,781.14
20251209,855053,580,680,782,448.66,608.89,777.13
20251210,831473,572,672,774,444.02,604.03,768.04
20251211,805742,564,664,766,440.02,600.03,756.04
20251212,783010,556,656,758,433.81,592.79,742.99
20251213,759117,,,,,,
20251214,740519,,,,,,
20251215,718095,547,647,750,433.81,592.79,735
20251216,692116,538,638,741,430.8,589.56,725.98
20251217,790913,530,630,732,422.82,582.38,721.99
20251218,764110,522,622,724,422.82,578.39,718
20251219,730332,514,614,716,422.82,578.39,715.61
20251220,698483,,,,,,
20251221,844317,,,,,,
20251222,824506,507,607,708,422.82,574.4,710.02
20251223,931491,500,600,700,422.22,573.59,705.04
20251224,903905,495,595,693,421.63,572.77,700.06
20251225,874954,491,590,687,420.43,571.15,682.2
20251226,847400,490,586,682,421.03,571.96,675.23
20251227,819843,,,,,,
20251228,791858,,,,,,
20251229,838229,490,586,680,425,571.96,671.26
20251230,883618,493,588,680,426.17,570.33,669.35
20251231,916520,,,,,,
