CCI4500,CCI5000,CCI5500,CCI3800out,CCI4700out,CCI5500out
640.0,736.0,827.0,563.94,709.72,867.02
637.0717722169609,732.66244508059,823.6727281197362,562.3904000000001,699.9981457134513,867.4712
635.4353586218322,730.2412052496597,822.0722469010182,560.8408000000002,696.4689046708166,867.9223999999998
634.0433852213129,728.4997137268105,820.9856488618963,559.2912000000001,693.9535567173833,868.3735999999998
633.096740530335,727.039842920216,820.2160681687692,557.7416,692.45210185315,868.8247999999996
632.7195243751252,726.4624075135671,820.443074900228,556.192,694.114372294875,869.2759999999996
632.2696093101112,725.974234106664,820.119368978487,554.6424,694.663775474018,869.7271999999995
631.1721503599596,724.7710871904911,819.4128921060767,553.0928,693.3766374929695,870.1783999999994
630.7867513730008,724.1266605908239,819.1093111555456,551.5432,693.3743987644878,870.6295999999993
631.0968359468013,724.4262541455007,818.9918117058121,549.9935999999999,694.5940384593273,871.0807999999993
630.9820947557214,724.0651921746967,818.7800616017159,548.444,694.895636816563,871.5319999999991
629.8893998015851,723.0683482593624,818.0764927355052,546.8943999999998,693.6386043290452,871.9831999999993
629.6028536931497,722.9406217621954,817.9001010738571,545.3448,694.064524429777,872.434399999999
629.6735973635359,723.1942039177668,817.7325692957497,543.7951999999999,695.1483274908898,872.8855999999992
630.2609968396962,724.0118518725135,818.1731253554575,542.2455999999997,697.5577657387408,873.3367999999989
629.7420994267853,723.6445531413248,817.953366481419,540.6959999999998,697.866457552723,873.787999999999
630.5555474526489,724.492276893272,818.4297853723066,539.1463999999997,700.4133636890854,874.2391999999988
631.258967667982,725.4417040535857,818.8276415359716,537.5967999999997,703.3506306662061,874.6903999999986
630.4716991523926,724.3671078460667,818.2583750733635,536.0471999999996,702.5559683883422,875.1415999999987
629.472913668605,723.4763684740842,817.6714293314019,534.4975999999997,701.710830293734,875.5927999999984
628.5529619963592,722.4482305588093,816.7342399789703,532.9479999999996,700.3701672013789,876.0439999999985
628.4839555296352,722.3689156835386,816.4502733769434,533.0880092445417,701.0120326243615,874.6518120482244
628.7819436640771,722.9104026980109,816.8373834880093,533.601198110186,702.5638184820259,873.4318222670358
629.2591186263421,723.4294996280419,817.0045716620833,534.5298996151189,703.7070489577785,871.9447778589797
629.9885262080658,724.4371929491822,817.4988059064419,535.7855092581422,705.1513290166447,870.8692392163707
631.0101865976953,725.3543693326859,818.1143376460986,537.3911431768736,706.3867373138172,869.9772796419429
631.4867206614063,726.100648054148,818.5364428448378,538.9945751943274,706.8693750497084,869.2542777418835
631.7719389096454,726.428599772066,818.7101398884977,540.7690845774171,706.9566607357021,867.763068814295
632.0750730051489,726.7771516196201,818.9066834878263,542.7569681815397,706.8004664611282,866.3329171679775
633.7398850040885,728.6321890971021,820.5489756578482,545.8519626697342,708.3696400171287,865.9943946014505
635.682027903126,731.0343320885949,822.806240592565,549.3454503888217,710.4969285487332,866.7945450954196
637.0437976234854,732.5705499976234,824.3114347638086,552.677789041532,711.5345625035325,866.2284575019887
636.7838062922402,732.1022740589372,823.6385189201445,555.0309717903209,710.4438709978652,863.5693234344486
636.436402298029,731.732466269667,822.8512557247647,557.4153858164514,709.2334119397977,860.5907033164785
636.8604271967303,732.0203582451109,823.2004943550049,560.2576777609207,708.6842208121417,859.0311322173563
638.2678200602446,733.8381092389837,824.8200610148356,564.4386162248028,709.6294394711259,858.6105285595831
637.3733402597996,732.8394254043833,823.7225902279439,563.9061606269903,708.6558852649583,857.0940768557468
638.5302746789869,734.3397913806238,825.1592255909601,565.1363545798735,709.9495492541379,858.4862828660368
640.2596096352627,736.2685832928931,827.2770860861422,566.722164277127,711.7910563169123,860.5543143391718
