CCI4500,CCI5000,CCI5500,CCI3800out,CCI4700out,CCI5500out
652.0,754.0,846.0,601.172556588495,734.6505781311017,930.6133263470432
652.4066515048048,754.4702687647589,845.9264214082165,601.6098271369996,735.4906495072242,932.1466627391354
652.3150567049422,754.3956936592117,845.6655096144668,601.6832691485686,735.9129404327704,933.173531224091
652.0595174432914,754.5643699397174,845.8545930277372,601.7018326900057,736.2955258047552,934.1733437455429
651.651919671174,754.5583305005633,845.8478229130177,601.4916645215202,736.4261742910974,934.8772215118493
650.2468385137215,753.2307881129909,844.0037598482685,600.6032822800471,735.7338947902122,934.2258471754359
649.1181246109937,752.6602729316522,844.193126737864,599.7993203011557,735.2124585527812,934.8192722010986
649.2960397649973,754.776251157961,847.0218612654138,600.0101730692668,735.7593542365862,936.2988055807017
648.6592625580926,755.3463374144463,848.5807012478616,599.624293183973,735.3663433543942,935.6316220274724
648.6948688447894,757.2963750296393,851.4058388194339,599.7560649104794,735.4089032466263,936.8410321486331
648.1242609298494,757.9448281137323,852.8386030637859,599.495491403045,734.8850817387328,936.8768705876137
648.1629006826281,759.8513569698537,855.1841781211252,599.6469082974712,734.7564209276672,936.7232094285558
646.0541406342467,756.4446904432914,851.318254447782,597.3971406042443,732.1387202606071,934.44823019529
645.4549988836311,756.6207283607189,851.656270162643,596.9848411968103,731.8823808516072,933.6895893955643
643.8226212154307,754.8005013047633,850.048882423603,595.3855273109415,730.2667486956875,931.4084972791192
643.1174321238002,754.6087199136463,849.7777178670195,594.7625795632853,729.447463444238,929.5814566426134
641.7501079697695,753.6864640637324,848.133552191264,593.6713466891382,728.3192557066545,927.3124567688202
642.1716419517069,756.0342537561937,851.5472202627908,593.6054234021871,728.9772046371996,928.436459022194
643.0752392327825,758.507180197879,855.1184683318464,594.2014550906595,730.0162600316208,930.0144371050573
644.9459216766372,762.4500167061544,860.0638825782065,595.7323377630039,731.8128142586461,932.7139605983231
643.0617549158347,759.5098453519037,856.5138513922997,593.8332096303468,729.5949722763805,930.5264636551725
641.6170904704492,757.4733154452798,853.9247328806202,592.6678721674562,727.9221358087253,928.479925421001
639.4485119243758,753.3701448669983,849.1452640824756,590.3103544919211,725.1447357146768,925.5567174236892
638.2243536080294,751.7344981996865,846.9494540751972,588.9660450951914,723.2806534342179,922.9328338989601
638.9332656314818,754.1668316926489,849.6864580858816,589.6389042734147,724.1969007123255,923.6717656489526
