index,normal_first,seasonal_first,delta_first,normal_avg60,seasonal_avg60,delta_avg60,normal_slope120,seasonal_slope120,normal_range120,seasonal_range120
CCI4500,652.0,652.0,0.0,644.4,642.6666666666666,-1.7333333333333485,-10.0,7.0,33.0,27.0
CCI5000,751.0,754.0,3.0,746.1166666666667,760.55,14.43333333333328,-4.0,33.0,31.0,40.0
CCI5500,837.0,846.0,9.0,842.0166666666667,856.3166666666667,14.300000000000068,-3.0,33.0,39.0,36.0
CCI3800out,600.8469847069249,601.172556588495,0.32557188157011296,599.4615866520815,592.9775338456582,-6.4840528064232785,-11.942423802858116,6.457956734825757,43.44887658011305,24.520258785610622
CCI4700out,734.9112086424553,734.6505781311017,-0.2606305113536109,726.7457027350744,728.8221048400166,2.07640210494219,-10.474627821309355,11.240922468731242,31.09940718249959,27.515094867944867
CCI5500out,914.2659237343132,930.6133263470432,16.34740261272998,896.3627227056204,927.6253138350846,31.262591129464226,-21.70952333579794,38.447205789275586,45.48278836319878,60.43478323601721
