index,variant,rows,mape_first5,mape_first10,mape_first30,mape_first60,mape_first120,mape_h1,rmse_h1,dir_h1,mape_h5,rmse_h5,dir_h5,mape_h10,rmse_h10,dir_h10,mape_h20,rmse_h20,dir_h20,mape_h30,rmse_h30,dir_h30,mape_h60,rmse_h60,dir_h60,mape_h120,rmse_h120,dir_h120,month_trend_acc
CCI4500,normal,347,1.532193803988986,2.3751841439862678,4.749178496446545,7.276189991039926,10.784191322277227,0.8098785314487137,5.843566224173213,0.0,2.2668436323947287,16.14142640364547,25.072886297376094,3.917108976044268,26.835453975227775,38.46153846153847,5.995960764118966,40.38633829407408,46.646341463414636,7.783264952711944,50.51898296449027,44.65408805031446,11.70784193399878,72.00220331068653,39.58333333333333,19.72457727222051,115.77893857668876,39.473684210526315,55.98141695702671
CCI4500,seasonal,347,1.3430723262644908,2.0573416755966907,4.165485515484573,6.546036596344468,10.079236922817577,0.7306092153738654,5.085391550072078,0.0,1.945479539295806,14.630859177820277,30.32069970845481,3.3118981368365494,25.12733450952029,37.8698224852071,5.277403701111027,38.05011321206234,50.609756097560975,6.760820167100389,45.75046431401476,51.257861635220124,11.092083577754517,69.04409621884945,46.52777777777778,17.59824039594874,106.40050586851756,46.05263157894737,62.36933797909408
CCI5000,normal,347,1.244790042638392,1.9145438311827183,4.143030584372182,6.647477625694706,10.71002729588297,0.7327556101155113,5.949574849950095,0.0,1.7640475904219362,14.796608664720814,28.57142857142857,3.1501280086573593,25.490849378883794,40.828402366863905,5.2993042070437495,40.72985774790024,47.256097560975604,6.889610250075004,51.972338461584954,48.742138364779876,11.686802662918895,82.74481023676009,44.09722222222222,20.34924430938211,133.0365434684136,37.719298245614034,53.07781649245064
CCI5000,seasonal,347,1.1844989226369536,1.8235711224875044,3.7948506938739213,5.7789104149471395,9.501924276576363,0.7140958711786345,6.134717511452078,0.0,1.7355628433493802,15.079608083899492,31.778425655976676,2.9193943137300598,24.310206193726014,47.0414201183432,4.908243961309551,38.72481520678109,59.45121951219512,6.226140130163105,47.14086972994536,60.37735849056604,9.76361965195864,68.17925431947344,57.638888888888886,18.02081423195782,121.47833457198556,48.24561403508772,62.601626016260155
CCI5500,normal,347,1.147272490976218,1.7639099676465628,3.8666655680739335,6.363743682459118,9.727313015241515,0.6115792795870812,5.736852438313437,0.0,1.7097738755404726,15.778041694262805,30.029154518950435,2.989776941549186,26.685740939019958,34.9112426035503,5.070016278550922,44.730045036939984,38.71951219512195,6.830066768774522,58.375425629537204,35.53459119496855,10.834003750960052,86.19834862673976,39.23611111111111,17.98925835916908,139.63503215421878,38.59649122807017,55.51684088269454
CCI5500,seasonal,347,0.9559556502621046,1.4775048518135434,3.3295252181045205,5.584434939974727,9.43665443107709,0.5838158455874137,5.748680369559373,0.0,1.375344324368893,13.852400779723007,31.195335276967928,2.4656025832615462,23.270822272034565,43.786982248520715,4.3736158219044174,38.969843019380875,56.09756097560976,5.828270527118687,50.18967928732638,57.861635220125784,10.1824122399994,79.60826095273693,56.94444444444444,18.129202859997438,138.60218526310788,47.368421052631575,64.80836236933798
CCI3800out,normal,347,1.3796277262090495,1.980659598338141,3.9490136364051196,5.57664309110066,7.090389272277029,0.9071385637171603,5.522967162194597,0.0,1.8337641060809897,11.038177381606998,41.39941690962099,3.109143051813314,18.484989847704544,50.591715976331365,5.259877122912393,30.16066127287816,47.256097560975604,6.480506067798856,37.1350753532229,45.59748427672956,7.859010200214454,42.95989723508541,63.19444444444444,11.839305078726756,56.35540929265563,37.719298245614034,61.55632984901278
CCI3800out,seasonal,347,1.2452104158188742,1.6773193290992063,3.4228522294094246,4.868196527077485,6.725510837625401,0.7167761657289472,4.203577759743701,0.0,1.494007498497276,8.36675729792943,40.816326530612244,2.324431078338075,12.758954735492656,51.183431952662716,4.399687818620303,22.908366029824844,43.90243902439025,5.481283779895805,30.26205523261202,61.0062893081761,7.107903147966965,37.62673983061666,68.05555555555556,11.697926702247193,56.69629683976748,46.05263157894737,69.45412311265969
CCI4700out,normal,347,1.059905320323872,1.4537156642105076,3.2485443635633797,5.26905147498794,8.218368244540892,0.7293114612358037,5.934080422162897,0.0,1.343467697836623,11.235953373489947,44.02332361516035,2.196440368095308,18.435455362430677,47.928994082840234,4.291958931210934,34.670294309554826,48.47560975609756,5.736507488727425,46.06209023796999,49.37106918238994,9.437778939240243,69.57151165514342,51.041666666666664,14.49446100453828,94.19616026474974,31.140350877192986,63.06620209059234
CCI4700out,seasonal,347,0.9962810263860471,1.4531307479104802,3.1841714525168827,5.0774665929239795,7.803661117511584,0.6600252442129939,5.7359808175671985,0.0,1.3331549129932314,11.424929339283759,39.94169096209912,2.303852982552995,18.43429685101961,37.573964497041416,3.9496057168288488,31.36244575873146,40.54878048780488,5.526799467129203,42.403916001615755,42.138364779874216,8.596625927671576,63.87059915182889,56.94444444444444,14.049159876978779,92.72993708268211,39.91228070175439,64.5760743321719
CCI5500out,normal,347,1.2984105866393916,1.7667060073962422,3.321316297368753,5.175701383220206,8.045132816723212,0.8751238237767235,8.733880736139653,0.0,1.6937324156586449,16.85243767977994,29.44606413994169,2.5767827355980377,24.606142604236627,33.13609467455622,4.029778466290883,38.024192752606645,41.76829268292683,5.483751128251513,49.26500254276705,42.45283018867924,8.557409501269147,72.6844172429972,52.083333333333336,15.007228892499553,117.91396111026424,41.228070175438596,61.904761904761905
CCI5500out,seasonal,347,0.9850502847398332,1.430739263150368,2.9290733556691086,4.4003556188049915,7.213615557664579,0.6339138077522627,6.067108904202734,0.0,1.3243370948130126,13.188079488970558,48.10495626822158,2.20708007386026,21.180959153752838,56.50887573964497,3.8122507818514424,36.75828568504052,57.62195121951219,4.8153654564699915,44.43377497750395,63.20754716981132,7.601106059245816,64.33152264066719,67.36111111111111,14.557383892259953,114.21408550526252,55.26315789473685,70.96399535423926
