index,normal_mape_10,seasonal_mape_10,delta_mape_10,normal_mape_60,seasonal_mape_60,delta_mape_60,normal_dir20,seasonal_dir20,delta_dir20,normal_month_trend,seasonal_month_trend,delta_month_trend
CCI4500,2.3751841439862678,2.0573416755966907,-0.3178424683895771,7.276189991039926,6.546036596344468,-0.7301533946954581,46.646341463414636,50.609756097560975,3.963414634146339,55.98141695702671,62.36933797909408,6.387921022067367
CCI5000,1.9145438311827183,1.8235711224875044,-0.0909727086952139,6.647477625694706,5.7789104149471395,-0.8685672107475666,47.256097560975604,59.45121951219512,12.195121951219512,53.07781649245064,62.601626016260155,9.523809523809518
CCI5500,1.7639099676465628,1.4775048518135434,-0.2864051158330194,6.363743682459118,5.584434939974727,-0.7793087424843907,38.71951219512195,56.09756097560976,17.37804878048781,55.51684088269454,64.80836236933798,9.291521486643447
CCI3800out,1.980659598338141,1.6773193290992063,-0.30334026923893465,5.57664309110066,4.868196527077485,-0.7084465640231752,47.256097560975604,43.90243902439025,-3.353658536585357,61.55632984901278,69.45412311265969,7.8977932636469035
CCI4700out,1.4537156642105076,1.4531307479104802,-0.0005849163000273272,5.26905147498794,5.0774665929239795,-0.1915848820639603,48.47560975609756,40.54878048780488,-7.926829268292678,63.06620209059234,64.5760743321719,1.5098722415795578
CCI5500out,1.7667060073962422,1.430739263150368,-0.33596674424587425,5.175701383220206,4.4003556188049915,-0.7753457644152144,41.76829268292683,57.62195121951219,15.853658536585364,61.904761904761905,70.96399535423926,9.059233449477354
