index,variant,first,day30,day60,day120,avg30,avg60,avg120,slope120,min120,max120
CCI4500,normal_synced,652.0,646.0,635.0,642.0,648.0666666666667,644.4,637.05,-10.0,619.0,652.0
CCI4500,seasonal_smoothed_synced,652.0,642.0,643.0,659.0,645.3666666666667,642.6666666666666,648.3,7.0,637.0,664.0
CCI5000,normal_synced,751.0,748.0,738.0,747.0,748.9666666666667,746.1166666666667,739.4833333333333,-4.0,721.0,752.0
CCI5000,seasonal_smoothed_synced,754.0,763.0,774.0,787.0,756.7,760.55,770.7,33.0,752.0,792.0
CCI5500,normal_synced,837.0,847.0,838.0,834.0,841.5333333333333,842.0166666666667,833.3083333333333,-3.0,813.0,852.0
CCI5500,seasonal_smoothed_synced,846.0,860.0,871.0,879.0,851.3333333333334,856.3166666666667,863.4416666666667,33.0,844.0,880.0
CCI3800out,normal_synced,600.8469847069249,604.8535322835005,587.9296739703773,588.9045609040668,602.3365823334672,599.4615866520815,586.6073061328893,-11.942423802858116,564.1833330630636,607.6322096431767
CCI3800out,seasonal_smoothed_synced,601.172556588495,592.5547467168237,592.960612670979,607.6305133233208,596.0981031395428,592.9775338456582,597.1381732412254,6.457956734825757,585.7118242256186,610.2320830112292
CCI4700out,normal_synced,734.9112086424553,727.1934082931141,717.8992952451281,724.436580821146,731.4978213103301,726.7457027350744,720.0097621722247,-10.474627821309355,704.4431874248742,735.5425946073738
CCI4700out,seasonal_smoothed_synced,734.6505781311017,727.77161661545,731.0898922488012,745.891500599833,731.1634161645902,728.8221048400166,734.2588843089601,11.240922468731242,721.6229869627143,749.1380818306592
CCI5500out,normal_synced,914.2659237343132,897.3127424415975,885.2288995942105,892.5564003985153,903.9562448879914,896.3627227056204,889.1802475623496,-21.70952333579794,868.7831353711144,914.2659237343132
CCI5500out,seasonal_smoothed_synced,930.6133263470432,928.305623834704,934.5353301875476,969.0605321363188,931.1200159531895,927.6253138350846,942.791446084111,38.447205789275586,914.9985529866632,975.4333362226804
