window,col,group,short,latest,prev,delta,pct,z,corr,down_pressure
1,00000232_电煤_价格(元/吨),国内/其它价格,00000232_电煤,915.0,915.0,0.0,0.0,0.0,0.5443308238465291,-0.0
1,00000233_动力煤_价格(元/吨),国内/其它价格,00000233_动力煤,755.0,755.0,0.0,0.0,0.0,0.532235116968411,-0.0
1,00000233_混煤_价格(元/吨),国内/其它价格,00000233_混煤,930.0,930.0,0.0,0.0,0.0,0.5228124538151953,-0.0
1,00000234_动力煤_价格(元/吨),国内/其它价格,00000234_动力煤,830.0,830.0,0.0,0.0,0.0,0.5296872633486843,-0.0
1,00000234_混煤_价格(元/吨),国内/其它价格,00000234_混煤,1010.0,1010.0,0.0,0.0,0.0,0.5187966238667405,-0.0
1,00000235_动力煤_价格(元/吨),国内/其它价格,00000235_动力煤,805.0,805.0,0.0,0.0,0.0,0.5288178648894016,-0.0
1,00000235_混煤_价格(元/吨),国内/其它价格,00000235_混煤,980.0,980.0,0.0,0.0,0.0,0.5215585461733508,-0.0
1,00000236_混煤_价格(元/吨),国内/其它价格,00000236_混煤,940.0,940.0,0.0,0.0,0.0,0.5195450772800522,-0.0
1,00000238_动力煤2#_价格(元/吨),国内/其它价格,00000238_动力煤2#,745.0,745.0,0.0,0.0,0.0,0.5341147361179112,-0.0
1,00000238_混煤_价格(元/吨),国内/其它价格,00000238_混煤,920.0,920.0,0.0,0.0,0.0,0.506605177455735,-0.0
1,00000257_动力末煤1#_价格(元/吨),国内/其它价格,00000257_动力末煤1#,620.0,620.0,0.0,0.0,0.0,0.6280747670924887,-0.0
1,00000257_动力末煤2#_价格(元/吨),国内/其它价格,00000257_动力末煤2#,705.0,705.0,0.0,0.0,0.0,0.6257858617912024,-0.0
1,00000258_动力煤1#_价格(元/吨),国内/其它价格,00000258_动力煤1#,755.0,755.0,0.0,0.0,0.0,0.6170731375650268,-0.0
1,00000258_动力煤2#_价格(元/吨),国内/其它价格,00000258_动力煤2#,845.0,845.0,0.0,0.0,0.0,0.6390047055720104,-0.0
1,00000258_动力煤3#_价格(元/吨),国内/其它价格,00000258_动力煤3#,930.0,930.0,0.0,0.0,0.0,0.6099070433348481,-0.0
1,00000259_动力煤1#_价格(元/吨),国内/其它价格,00000259_动力煤1#,585.0,585.0,0.0,0.0,0.0,0.6650701256404447,-0.0
