source,table,file,rows,latest,earliest,columns
500plus,输入00000303-A-煤炭价格_国际煤价_到岸价格_蒙古,输入00000303--煤炭价格_国际煤价_到岸价格_蒙古.csv,1890,2026-04-13,2025-01-02,"时间,产品名称,到岸港口,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),较上期,价格类型"
500plus,输入00000351-A-煤炭运费_水运价格_进口煤炭运费,输入00000351--煤炭运费_水运价格_进口煤炭运费.csv,1535,2026-04-13,2025-01-02,"日期,数据类目,当期值(美元/吨),环比变化"
60plus,输入00000278-A-煤炭运费_水运价格_进口煤炭运费,输入00000278-CCTD-煤炭运费_水运价格_进口煤炭运费.csv,1535,2026-04-13,2025-01-02,"日期,数据类目,当期值(美元/吨),环比变化"
500plus,输入00000357-A-港口煤炭数据_港口库存及调度_港口库存及调度(日)_秦皇岛港,输入00000357--港口煤炭数据_港口库存及调度_港口库存及调度(日)_秦皇岛港.csv,468,2026-04-13,2025-01-01,"时间,库存合计(万吨),调入量(万吨),吞吐量(万吨),锚地船舶(艘),预到船舶(艘),铁路到车(车),港口卸车(车)"
500plus,输入00000359-A-港口煤炭数据_港口库存及调度_港口库存及调度(日)_华电曹妃甸,输入00000359--港口煤炭数据_港口库存及调度_港口库存及调度(日)_华电曹妃甸.csv,468,2026-04-13,2025-01-01,"时间,库存合计(万吨),调入量(万吨),吞吐量(万吨),锚地船舶(艘),预到船舶(艘),铁路到车(列),港口卸车(车)"
500plus,输入00000360-A-港口煤炭数据_港口库存及调度_港口库存及调度(日)_曹妃甸港,输入00000360--港口煤炭数据_港口库存及调度_港口库存及调度(日)_曹妃甸港.csv,468,2026-04-13,2025-01-01,"时间,库存合计(万吨),调入量(万吨),吞吐量(万吨),锚地船舶(艘),预到船舶(艘),港口卸车(车)"
500plus,输入00000361-A-港口煤炭数据_港口库存及调度_港口库存及调度(日)_曹妃甸二期,输入00000361--港口煤炭数据_港口库存及调度_港口库存及调度(日)_曹妃甸二期.csv,468,2026-04-13,2025-01-01,"时间,库存合计(万吨),调入量(万吨),吞吐量(万吨),锚地船舶(艘),预到船舶(艘)"
500plus,输入00000364-A-港口煤炭数据_港口库存及调度_港口库存及调度(日)_国投京唐港,输入00000364--港口煤炭数据_港口库存及调度_港口库存及调度(日)_国投京唐港.csv,468,2026-04-13,2025-01-01,"时间,库存合计(万吨),调入量(万吨),吞吐量(万吨),锚地船舶(艘),预到船舶(艘)"
500plus,输入00000365-A-港口煤炭数据_港口库存及调度_港口库存及调度(日)_京唐老港,输入00000365--港口煤炭数据_港口库存及调度_港口库存及调度(日)_京唐老港.csv,468,2026-04-13,2025-01-01,"时间,库存合计(万吨),调入量(万吨),吞吐量(万吨),锚地船舶(艘),预到船舶(艘)"
500plus,输入00000358-A-港口煤炭数据_港口库存及调度_港口库存及调度(日)_华能曹妃甸,输入00000358--港口煤炭数据_港口库存及调度_港口库存及调度(日)_华能曹妃甸.csv,467,2026-04-13,2025-01-01,"时间,库存合计(万吨),调入量(万吨),吞吐量(万吨),锚地船舶(艘),预到船舶(艘)"
