window,category,feature,name,prev,event_value,delta,pct,z,lead_corr,down_signal
3,外盘/进口相关,输入00000312--煤炭价格_分煤种价格_动力煤_4800大卡以下--印尼煤2#--广州港--价格(元/吨),动力煤_4800大卡以下--印尼煤2#--广州港,675.0,675.0,0.0,0.0,-0.009852057905107535,0.43623267904900104,0.004297789614090949
3,外盘/进口相关,输入00000312--煤炭价格_分煤种价格_动力煤_4800大卡以下--印尼煤3#--广州港--价格(元/吨),动力煤_4800大卡以下--印尼煤3#--广州港,580.0,580.0,0.0,0.0,-0.010202204074622143,0.44073258451411396,0.004496443769548641
3,外盘/进口相关,输入00000299--煤炭价格_国际煤价_到岸价格_印尼--气煤-天津港--价格(元/吨),到岸价格_印尼--气煤-天津港,1220.0,1220.0,0.0,0.0,0.011494056649760874,-0.060363600149387624,0.0006938226397005754
3,外盘/进口相关,输入00000301--煤炭价格_国际煤价_到岸价格_南非--动力煤-防城港--价格(元/吨),到岸价格_南非--动力煤-防城港,870.0,870.0,0.0,0.0,-0.006619956951223918,0.4480737853182795,0.002966229169778958
3,外盘/进口相关,输入00000307--煤炭价格_国际煤价_国际港口_卡里曼丹--动力煤1#--本期价格(美元/吨),国际港口 卡里曼丹--动力煤1#,60.0,60.0,0.0,0.0,-0.009349870348188525,0.42100221462657494,0.003936316123058714
3,外盘/进口相关,输入00000307--煤炭价格_国际煤价_国际港口_卡里曼丹--动力煤2#--本期价格(美元/吨),国际港口 卡里曼丹--动力煤2#,48.2,48.2,0.0,0.0,-0.007992874498021559,0.42528273268906525,0.003399231508559349
3,外盘/进口相关,输入00000308--煤炭价格_国际煤价_国际港口_印度东海岸--动力煤1#--本期价格(美元/吨),国际港口 印度东海岸--动力煤1#,103.35,103.35,0.0,0.0,-0.00568929773374174,0.3283496816605962,0.001868079099746452
3,外盘/进口相关,输入00000308--煤炭价格_国际煤价_国际港口_印度东海岸--动力煤2#--本期价格(美元/吨),国际港口 印度东海岸--动力煤2#,88.35,88.35,0.0,0.0,-0.008162049663210604,0.3670670424747047,0.002996019430406376
3,外盘/进口相关,输入00000308--煤炭价格_国际煤价_国际港口_印度东海岸--动力煤3#--本期价格(美元/吨),国际港口 印度东海岸--动力煤3#,72.85,72.85,0.0,0.0,-0.011436589022713314,0.44208122167405883,0.005055901246945232
3,外盘/进口相关,输入00000309--煤炭价格_国际煤价_国际港口_印度西海岸--动力煤1#--本期价格(美元/吨),国际港口 印度西海岸--动力煤1#,104.6,104.6,0.0,0.0,-0.006048945652555978,0.3297238737920417,0.001994481792918287
3,外盘/进口相关,输入00000309--煤炭价格_国际煤价_国际港口_印度西海岸--动力煤3#--本期价格(美元/吨),国际港口 印度西海岸--动力煤3#,74.1,74.1,0.0,0.0,-0.011567457968534237,0.4415447346916955,0.005107550159773789
3,国内指数/CCI源表,输入00000004-易煤北方港指数_处理后_Q5000S0.8,输入00000004-易煤北方港指数_处理后_Q5000S0.8,732.0,732.0,0.0,0.0,-0.004239391347641781,0.09202488360379653,0.00039012949531767703
3,国内指数/CCI源表,输入00000004-易煤北方港指数_处理后_Q5500S0.8,输入00000004-易煤北方港指数_处理后_Q5500S0.8,827.0,827.0,0.0,0.0,-0.0030127223454753443,0.006494781105350813,1.956697216506145e-05
3,国内指数/CCI源表,输入00000005-易煤长江口指数_处理后_Q5000S0.8,输入00000005-易煤长江口指数_处理后_Q5000S0.8,766.0,766.0,0.0,0.0,-0.002722214567898151,0.3868135041849744,0.0010529893561520697
3,国内指数/CCI源表,输入00000005-易煤长江口指数_处理后_Q5500S0.8,输入00000005-易煤长江口指数_处理后_Q5500S0.8,856.0,856.0,0.0,0.0,-0.005741274366220908,0.6477310423015501,0.0037188016293714403
3,外盘/进口相关,输入00000010-API指数_处理后_API4(6000NAR),API API4(6000NAR),118.27,118.27,0.0,0.0,-0.004481778118795388,0.3178639935692298,0.001424595891131492
3,外盘/进口相关,输入00000010-API指数_处理后_API5(5500NAR),API API5(5500NAR),104.12,104.12,0.0,0.0,-0.009823530470196346,0.4005324258116947,0.00393464248926284
3,外盘/进口相关,输入00000010-API指数_处理后_API8(5800GAR),API API8(5800GAR),120.13,120.13,0.0,0.0,-0.01313199648610253,0.5660452333790964,0.00743330401570938
3,外盘/进口相关,输入00000011-ICI指数_处理后_ICI1,ICI ICI1,129.46,129.46,0.0,0.0,-0.011182624205520441,0.4541706134262282,0.005078819295136207
3,外盘/进口相关,输入00000011-ICI指数_处理后_ICI2,ICI ICI2,108.3,108.3,0.0,0.0,-0.01220392322655306,0.4836445563329402,0.005902361034427518
3,外盘/进口相关,输入00000011-ICI指数_处理后_ICI3,ICI ICI3,86.81,86.81,0.0,0.0,-0.01070891396047025,0.5313077837156013,0.005689729342338511
3,外盘/进口相关,输入00000011-ICI指数_处理后_ICI4,ICI ICI4,67.79,67.79,0.0,0.0,-0.01323549877047361,0.5316145625374947,0.0070361838888308775
3,国内指数/CCI源表,输入00000019-CCI指数_处理后_内蒙古鄂尔多斯5500,CCI 内蒙古鄂尔多斯5500,615.0,631.0,16.0,2.6016260162601625,0.5800667872918485,0.5289811737271637,-0.306844409981787
3,国内指数/CCI源表,输入00000019-CCI指数_处理后_山西大同5500,CCI 山西大同5500,720.0,720.0,0.0,0.0,-0.011677459319267367,0.5480501404058695,0.00639983321950831
3,国内指数/CCI源表,输入00000019-CCI指数_处理后_陕西榆林5800,CCI 陕西榆林5800,690.0,710.0,20.0,2.898550724637681,0.6495333933317526,0.4062799153477698,-0.2638923720583741
3,国内其它煤价,输入00000268-CCTD-煤炭价格_鄂尔多斯市_伊金霍洛旗_动力煤1#_价格(元/吨),输入00000268-CCTD-煤炭价格_鄂尔多斯市_伊金霍洛旗_动力煤1#,550.0,550.0,0.0,0.0,-0.024255168821735593,0.08893314257916632,0.002157088387105161
3,国内其它煤价,输入00000269-CCTD-煤炭价格_榆林市_神木县_动力煤_价格(元/吨),输入00000269-CCTD-煤炭价格_榆林市_神木县_动力煤,605.0,605.0,0.0,0.0,-0.009794794255344567,0.281294552707978,0.0027552222689238223
3,国内其它煤价,输入00000269-CCTD-煤炭价格_榆林市_神木县_混煤_价格(元/吨),输入00000269-CCTD-煤炭价格_榆林市_神木县_混煤,555.0,555.0,0.0,0.0,-0.016131510568758136,0.2521697488191848,0.004067878968197764
3,国内其它煤价,输入00000270-CCTD-煤炭价格_朔州_朔州市_动力混煤_价格(元/吨),输入00000270-CCTD-煤炭价格_朔州_朔州市_动力混煤,545.0,545.0,0.0,0.0,-0.003070614249409971,0.44857157023882954,0.0013773902554555556
3,国内其它煤价,输入00000270-CCTD-煤炭价格_朔州_朔州市_动力煤_价格(元/吨),输入00000270-CCTD-煤炭价格_朔州_朔州市_动力煤,500.0,500.0,0.0,0.0,-0.004040668965571411,0.4373913877111814,0.0017673538061327833
3,国内其它煤价,输入00000270-CCTD-煤炭价格_朔州_朔州市_块煤_价格(元/吨),输入00000270-CCTD-煤炭价格_朔州_朔州市_块煤,655.0,655.0,0.0,0.0,-0.00582477709508194,0.39527076989608134,0.0023023641268460986
3,国内其它煤价,输入00000270-CCTD-煤炭价格_朔州_朔州市_气煤_价格(元/吨),输入00000270-CCTD-煤炭价格_朔州_朔州市_气煤,465.0,465.0,0.0,0.0,-0.004212689527447288,0.4322385172694631,0.0018208866750604109
3,国内其它煤价,输入00000271-CCTD-煤炭价格_朔州_右玉县_动力煤_价格(元/吨),输入00000271-CCTD-煤炭价格_朔州_右玉县_动力煤,570.0,570.0,0.0,0.0,-0.005496787306113347,0.4519469917318035,0.0024842564871874915
3,国内其它煤价,输入00000271-CCTD-煤炭价格_朔州_右玉县_气煤_价格(元/吨),输入00000271-CCTD-煤炭价格_朔州_右玉县_气煤,540.0,540.0,0.0,0.0,-0.0055127031147468785,0.44556947424678844,0.0024562922285164
3,外盘/进口相关,输入00000273-CCTD-煤炭价格_到岸价格_印尼_气煤_价格(元/吨),输入00000273-CCTD-煤炭价格_到岸价格_印尼_气煤,1220.0,1220.0,0.0,0.0,0.011494056649760874,-0.060363600149387624,0.0006938226397005754
3,外盘/进口相关,输入00000275-CCTD-煤炭价格_到岸价格_俄罗斯_喷吹煤_价格(元/吨),输入00000275-CCTD-煤炭价格_到岸价格_俄罗斯_喷吹煤,1080.0,1080.0,0.0,0.0,-0.000941913529439161,-0.2012632616451186,-0.00018957258912259098
3,外盘/进口相关,输入00000275-CCTD-煤炭价格_到岸价格_俄罗斯_气肥煤_价格(元/吨),输入00000275-CCTD-煤炭价格_到岸价格_俄罗斯_气肥煤,1100.0,1100.0,0.0,0.0,0.0150383282462294,0.08402357515890094,-0.001263574103661279
3,外盘/进口相关,输入00000275-CCTD-煤炭价格_到岸价格_俄罗斯_瘦焦煤_价格(元/吨),输入00000275-CCTD-煤炭价格_到岸价格_俄罗斯_瘦焦煤,1200.0,1200.0,0.0,0.0,0.012812192509615796,0.08007844670548592,-0.0010259804750616943
3,外盘/进口相关,输入00000275-CCTD-煤炭价格_到岸价格_俄罗斯_瘦煤_价格(元/吨),输入00000275-CCTD-煤炭价格_到岸价格_俄罗斯_瘦煤,1180.0,1180.0,0.0,0.0,0.013010548066277617,0.08902895208661754,-0.0011583154604132644
3,运费,输入00000278-CCTD-煤炭运费_水运价格_进口煤炭运费_印尼塔巴尼奥-中国广州_当期值(美元/吨),进口运费 印尼塔巴尼奥-中国广州,12.39,12.39,0.0,0.0,-0.027208456018087395,0.2697442308098432,0.007339324040122434
3,运费,输入00000278-CCTD-煤炭运费_水运价格_进口煤炭运费_印尼萨马林达-中国广州_当期值(美元/吨),进口运费 印尼萨马林达-中国广州,9.99,9.99,0.0,0.0,-0.022208428605098553,0.28412948576072367,0.006310069399120398
3,运费,输入00000278-CCTD-煤炭运费_水运价格_进口煤炭运费_澳大利亚海波因特-中国舟山_当期值(美元/吨),进口运费 澳大利亚海波因特-中国舟山,19.16,19.16,0.0,0.0,-0.038469228228417675,0.19273232418056235,0.0074142637658954355
3,运费,输入00000278-CCTD-煤炭运费_水运价格_进口煤炭运费_澳大利亚纽卡斯尔-中国舟山_当期值(美元/吨),进口运费 澳大利亚纽卡斯尔-中国舟山,18.96,18.96,0.0,0.0,-0.021245663305220094,0.2656638531422581,0.005644204776227853
3,运费,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_天津-上海(2-3万DWT)_本期(元/吨),沿海运费 天津-上海(2-3万DWT),42.3,42.3,0.0,0.0,-0.004068543252803354,0.197579453720397,0.0008038605533266937
3,运费,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_天津-镇江(1-1.5万DWT)_本期(元/吨),沿海运费 天津-镇江(1-1.5万DWT),62.8,62.8,0.0,0.0,-0.007928186167323522,0.18473965991983873,0.0014646504163325171
3,运费,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_天津-镇江(2-3万DWT)_本期(元/吨),沿海运费 天津-镇江(2-3万DWT),44.4,44.4,0.0,0.0,-0.0021359688630731687,0.19775888364359115,0.00042240681785882044
3,运费,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_曹妃甸-宁波(4-5万DWT)_本期(元/吨),沿海运费 曹妃甸-宁波(4-5万DWT),41.5,41.5,0.0,0.0,-0.006268549842035957,0.19380985196575717,0.0012149067169249593
3,运费,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_秦皇岛-上海(4-5万DWT)_本期(元/吨),沿海运费 秦皇岛-上海(4-5万DWT),39.7,39.7,0.0,0.0,-0.005937098488849561,0.19473848213678563,0.0011561815480151671
3,运费,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_秦皇岛-南京(3-4万DWT)_本期(元/吨),沿海运费 秦皇岛-南京(3-4万DWT),45.7,45.7,0.0,0.0,-0.004493435656060296,0.19803482918557147,0.0008898567626042569
3,运费,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_秦皇岛-厦门(5-6万DWT)_本期(元/吨),沿海运费 秦皇岛-厦门(5-6万DWT),52.9,52.9,0.0,0.0,-0.010352256331634902,0.1779532038968782,0.001842217181776174
3,运费,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_秦皇岛-宁波(1.5-2万DWT)_本期(元/吨),沿海运费 秦皇岛-宁波(1.5-2万DWT),51.9,51.9,0.0,0.0,-0.005691554774721722,0.18807334695981834,0.0010704297558870493
3,运费,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_秦皇岛-广州(5-6万DWT)_本期(元/吨),沿海运费 秦皇岛-广州(5-6万DWT),60.4,60.4,0.0,0.0,-0.011880087603774066,0.17680499151065004,0.002100458787931053
3,运费,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_秦皇岛-广州(6-7万DWT)_本期(元/吨),沿海运费 秦皇岛-广州(6-7万DWT),58.1,58.1,0.0,0.0,-0.011964225712709598,0.18179120036739624,0.0021749909537799447
3,运费,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_秦皇岛-张家港(2-3万DWT)_本期(元/吨),沿海运费 秦皇岛-张家港(2-3万DWT),43.6,43.6,0.0,0.0,-0.0035839844805193736,0.20239268000286395,0.0007253722241009882
3,运费,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_秦皇岛-张家港(4-5万DWT)_本期(元/吨),沿海运费 秦皇岛-张家港(4-5万DWT),41.3,41.3,0.0,0.0,-0.005209702416056324,0.1946053524189408,0.0010138359746744484
3,运费,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_秦皇岛-福州(3-4万DWT)_本期(元/吨),沿海运费 秦皇岛-福州(3-4万DWT),49.4,49.4,0.0,0.0,-0.006116706236002744,0.1842324106905601,0.0011268955353447676
3,运费,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_黄骅-上海(3-4万DWT)_本期(元/吨),沿海运费 黄骅-上海(3-4万DWT),40.1,40.1,0.0,0.0,-0.005498190833609833,0.19820410575851216,0.0010897639974652856
3,外盘/进口相关,00000259_动力煤_价格(元/吨)--原产地_南非,00000259_动力煤--原产地_南非,870.0,870.0,0.0,0.0,-0.006619956951223918,0.4480737853182795,0.002966229169778958
3,国内其它煤价,00000259_动力煤_价格(元/吨)--原产地_广西区,00000259_动力煤--原产地_广西区,765.0,765.0,0.0,0.0,-0.0017751216143951428,0.4174587304969031,0.0007410400156230094
3,外盘/进口相关,00000259_动力煤_价格(元/吨)--原产地_澳大利亚,00000259_动力煤--原产地_澳大利亚,860.0,860.0,0.0,0.0,-0.00747911960931412,0.48976406746869405,0.0036630040409425537
3,国内其它煤价,00000268_动力煤2#_价格(元/吨)--发热量_4500,00000268_动力煤2#--发热量_4500,360.0,360.0,0.0,0.0,-0.015412069558469514,0.06288993682511569,0.0009692640808764365
3,国内其它煤价,00000268_动力煤2#_价格(元/吨)--发热量_5000,00000268_动力煤2#--发热量_5000,455.0,455.0,0.0,0.0,-0.016387626362816033,0.06217013859422531,0.001018821002206653
3,国内其它煤价,00000275_1/3焦煤_价格(元/吨)--到岸港口_京唐,00000275_1/3焦煤--到岸港口_京唐,1170.0,1170.0,0.0,0.0,0.014159715453873612,0.08524412026113025,-0.0012070324870133867
3,国内其它煤价,00000275_1/3焦煤_价格(元/吨)--到岸港口_大连,00000275_1/3焦煤--到岸港口_大连,1160.0,1160.0,0.0,0.0,0.010209431423706165,0.08038779814425581,-0.0008207137124565134
3,国内其它煤价,00000275_主焦煤_价格(元/吨)--到岸港口_京唐,00000275_主焦煤--到岸港口_京唐,1320.0,1320.0,0.0,0.0,0.012201127660505965,0.08544649387265185,-0.001042543579882866
3,国内其它煤价,00000275_主焦煤_价格(元/吨)--到岸港口_天津,00000275_主焦煤--到岸港口_天津,1300.0,1300.0,0.0,0.0,0.01489895716844815,0.08230654380331937,-0.0012262816708086567
5,国内其它煤价,输入00000310--煤炭价格_分煤种价格_动力煤_5500大卡以上--动力煤1#--镇江港--价格(元/吨),动力煤_5500大卡以上--动力煤1#--镇江港,815.0,815.0,0.0,0.0,-0.004071863409196846,-0.17182835322817783,-0.000699661584172368
5,国内其它煤价,输入00000310--煤炭价格_分煤种价格_动力煤_5500大卡以上--动力煤3#--防城港--价格(元/吨),动力煤_5500大卡以上--动力煤3#--防城港,780.0,780.0,0.0,0.0,-0.0033662983180018096,0.4121046312679205,0.0013872671270779569
5,国内其它煤价,输入00000310--煤炭价格_分煤种价格_动力煤_5500大卡以上--动力末煤3#--上海港--价格(元/吨),动力煤_5500大卡以上--动力末煤3#--上海港,790.0,790.0,0.0,0.0,-0.005170519145258301,0.39422629172907686,0.0020383545889493763
5,国内其它煤价,输入00000310--煤炭价格_分煤种价格_动力煤_5500大卡以上--动力末煤4#--上海港--价格(元/吨),动力煤_5500大卡以上--动力末煤4#--上海港,825.0,825.0,0.0,0.0,-0.005411475159120361,0.3764155198193717,0.002036963235009908
