CCI4500,CCI5000,CCI5500,CCI3800out,CCI4700out,CCI5500out
640.0,736.0,827.0,563.94,709.72,867.02
626.4123442345974,720.0400612868168,809.3605693576036,546.5197123491196,692.4349295543299,848.0764095632753
622.2910912201286,714.9681715951879,803.7580940829877,540.7382459456458,687.3311180591918,844.3823466867638
620.33770411393,712.3596418910661,801.0959248661486,537.8033714491435,684.7481179760503,843.1991203783325
620.7511415237209,712.4134157746084,801.3775889346169,537.7150888596125,684.6859293049041,844.5267306379809
626.4813179654979,719.1605147002017,808.9160212748122,545.1676933241985,691.6409818201645,852.5094472433435
633.2443304985445,726.8127690009816,817.42059401717,552.7310512586542,697.8591125720801,863.5279754622176
633.9748069231058,727.6511809176068,818.3635262222012,553.4593736929862,698.4319643406428,865.4176763891918
639.3580377471899,733.4915414806541,825.0285172763372,557.1901405515493,703.6721463302143,875.5913257712164
638.9349969909501,733.0062158914164,824.2836186771408,556.4132467779204,703.6542050873251,874.6625639048904
639.1980594771583,733.3352684747291,824.8785315745763,556.5579511084511,704.7298461441787,875.4658799072846
634.4693163350818,728.0191378399779,818.8029780426583,552.0840735055859,700.786598681643,867.1903738231802
636.8448775946028,730.7174835585232,822.0114604576361,554.9098331393308,703.6424081308024,870.3815258792771
637.5177439920511,731.8899098805846,823.0793563197595,556.5506129757968,705.4493544663113,869.0272591452356
640.6914871627434,735.6775786809338,827.4615588863279,560.1362101007269,708.8290377245274,873.4602868531455
641.5907504269474,736.9105190894322,828.6229693270105,562.0396472605047,709.4415260464738,874.3373527798656
649.8459275495325,746.3921502609089,839.0801286422749,569.568123271014,716.8929377450148,888.5102144653769
649.6901591193046,746.4427025566144,839.1369585898686,570.2332783101498,717.0090494017949,887.5554731461419
649.6241324787997,746.3668431591964,838.8513322196853,570.2641553337132,717.447919041781,886.6265406933346
649.3108825755494,746.2366964711564,838.7050586765251,570.0681998897905,717.9339241785535,885.7514683684351
649.0711154288292,745.9905340678318,838.653959490332,570.9825635936572,718.2871579454719,883.6962170276603
654.1140164668519,751.8696043750969,844.9355125303321,575.2268320352383,723.6071998048549,892.2403983526613
