window,from_date,to_date,category,feature,name,prev,latest,delta,pct,z,corr_import_mean,down_pressure
1,2026-06-24,2026-06-25,国内其它煤价,00000234_混煤_价格(元/吨),00000234_混煤,1010.0,1010.0,0.0,0.0,0.0,0.5188844570077424,-0.0
1,2026-06-24,2026-06-25,国内其它煤价,00000235_动力煤_价格(元/吨),00000235_动力煤,805.0,805.0,0.0,0.0,0.0,0.5289080260241454,-0.0
1,2026-06-24,2026-06-25,国内其它煤价,00000235_混煤_价格(元/吨),00000235_混煤,980.0,980.0,0.0,0.0,0.0,0.5216469791345277,-0.0
1,2026-06-24,2026-06-25,国内其它煤价,00000236_混煤_价格(元/吨),00000236_混煤,940.0,940.0,0.0,0.0,0.0,0.5196331192805038,-0.0
1,2026-06-24,2026-06-25,国内其它煤价,00000238_动力煤2#_价格(元/吨),00000238_动力煤2#,745.0,745.0,0.0,0.0,0.0,0.5342053753667938,-0.0
1,2026-06-24,2026-06-25,国内其它煤价,00000238_混煤_价格(元/吨),00000238_混煤,920.0,920.0,0.0,0.0,0.0,0.5066908519737079,-0.0
1,2026-06-24,2026-06-25,国内其它煤价,00000257_动力末煤1#_价格(元/吨),00000257_动力末煤1#,620.0,620.0,0.0,0.0,0.0,0.6281819483649169,-0.0
1,2026-06-24,2026-06-25,国内其它煤价,00000257_动力末煤2#_价格(元/吨),00000257_动力末煤2#,705.0,705.0,0.0,0.0,0.0,0.6258921611612724,-0.0
1,2026-06-24,2026-06-25,国内其它煤价,00000258_动力煤1#_价格(元/吨),00000258_动力煤1#,755.0,755.0,0.0,0.0,0.0,0.6171771244648468,-0.0
1,2026-06-24,2026-06-25,国内其它煤价,00000258_动力煤2#_价格(元/吨),00000258_动力煤2#,845.0,845.0,0.0,0.0,0.0,0.6391121402257038,-0.0
1,2026-06-24,2026-06-25,国内其它煤价,00000258_动力煤3#_价格(元/吨),00000258_动力煤3#,930.0,930.0,0.0,0.0,0.0,0.6100094254448684,-0.0
1,2026-06-24,2026-06-25,国内其它煤价,00000259_动力煤1#_价格(元/吨),00000259_动力煤1#,585.0,585.0,0.0,0.0,0.0,0.6651813211099081,-0.0
1,2026-06-24,2026-06-25,国内其它煤价,00000259_动力煤2#_价格(元/吨),00000259_动力煤2#,690.0,690.0,0.0,0.0,0.0,0.6588893668929555,-0.0
1,2026-06-24,2026-06-25,国内其它煤价,输入00000311--煤炭价格_分煤种价格_动力煤_4800～5500大卡--大混1#--广州港--价格(元/吨),动力煤_4800～5500大卡--大混1#--广州港,770.0,770.0,0.0,0.0,0.0,0.6294056498745275,-0.0
