label,file,recent_slope,forecast_slope_before,target_slope,applied,first_value_after,day10_delta_after,day20_delta_after
CCI4500,autoinfer/CCI4500infer.csv,1.199999999999937,0.7067669172932362,0.9599999999999496,0,640.0,5.0,8.0
CCI5000,autoinfer/CCI5000infer.csv,2.799999999999961,0.7924812030075061,2.239999999999969,0,736.0,-3.0,7.0
CCI5500,autoinfer/CCI5500infer.csv,2.799999999999922,0.8751879699247854,2.2399999999999376,0,827.0,1.0,10.0
CCI3800out,autoinfer/CCI3800outinfer.csv,-0.08300000000000961,1.3507978298036862,0.0,0,563.94,-7.382048891548948,7.042563593657178
CCI4700out,autoinfer/CCI4700outinfer.csv,-0.1040000000000704,1.4608601394231926,0.0,0,709.72,-4.990153855821404,8.567157945471877
CCI5500out,autoinfer/CCI5500outinfer.csv,2.1759999999999096,2.1077295802047336,1.7407999999999277,0,867.02,8.44587990728462,16.6762170276603
