period_id,邵武_厂级_上网电量,邵武_厂级_供电煤耗,邵武_厂级_利用小时,邵武_厂级_发电厂用电率,邵武_厂级_发电标煤量,邵武_厂级_发电用厂用电量,邵武_厂级_发电耗煤量,邵武_厂级_开机率,邵武_厂级_综合厂用电率,邵武_厂级_综合厂用电量,邵武_厂级_耗煤量,邵武_厂级_负荷率,邵武_邵武#3_上网电量,邵武_邵武#3_利用小时,邵武_邵武#3_发电厂用电率,邵武_邵武#3_发电标煤量,邵武_邵武#3_发电用厂用电量,邵武_邵武#3_开机率,邵武_邵武#3_综合厂用电率,邵武_邵武#3_综合厂用电量,邵武_邵武#3_负荷率,邵武_邵武#3_运行小时,邵武_邵武#4_上网电量,邵武_邵武#4_利用小时,邵武_邵武#4_发电厂用电率,邵武_邵武#4_发电标煤量,邵武_邵武#4_发电用厂用电量,邵武_邵武#4_开机率,邵武_邵武#4_综合厂用电率,邵武_邵武#4_综合厂用电量,邵武_邵武#4_负荷率,邵武_邵武#4_运行小时,发电量3,发电量4,总发电量
20240203,740.091,286.14906,6.030303,5.080402,2162.027838,40.44,3526,50,7.023869,55.91,3526,50.252525,740.091,12.060606,5.080402,2162.027838,40.44,100,7.023744,55.909,50.252525,24,0,0,0,0,0,0,0,0,0,0,796,0,796
20240204,693.4,286.306151,5.666667,5.187166,2030.48322,38.8,3381,50,7.299465,54.6,3381,47.222222,693.4,11.333333,5.187166,2030.48322,38.8,100,7.299465,54.6,47.222222,24,0,0,0,0,0,0,0,0,0,0,748,0,748
20240205,669.24,288.80095,5.431818,5.294282,1961.073972,37.96,3111,50,6.661088,47.76,3111,45.265152,669.24,10.863636,5.294282,1961.073972,37.96,100,6.661088,47.76,45.265152,24,0,0,0,0,0,0,0,0,0,0,717,0,717
20240206,745.97,290.064144,5.992424,5.011378,2179.425952,39.64,3402,50,5.692794,45.03,3402,49.936869,745.97,11.984848,5.011378,2179.425952,39.64,100,5.692794,45.03,49.936869,24,0,0,0,0,0,0,0,0,0,0,791,0,791
20240207,1020.95,280.179631,8.143939,4.312558,2882.039755,46.36,4313,50,5.027907,54.05,4313,67.866162,1020.95,16.287879,4.312558,2882.039755,46.36,100,5.027907,54.05,67.866162,24,0,0,0,0,0,0,0,0,0,0,1075,0,1075
20240208,990.066,281.202295,7.901515,4.556088,2799.312608,47.52,4184,50,5.074784,52.93,4184,65.84596,990.066,15.80303,4.556088,2799.312608,47.52,100,5.075168,52.934,65.84596,24,0,0,0,0,0,0,0,0,0,0,1043,0,1043
20240209,1112.628,280.28337,8.856061,4.212147,3138.501062,49.24,5057,50,4.82207,56.37,5057,73.800505,1112.628,17.712121,4.212147,3138.501062,49.24,100,4.822241,56.372,73.800505,24,0,0,0,0,0,0,0,0,0,0,1169,0,1169
20240210,1074.28,280.721275,8.560606,4.315044,3035.270712,48.76,4577,50,4.930973,55.72,4577,71.338384,1074.28,17.121212,4.315044,3035.270712,48.76,100,4.930973,55.72,71.338384,24,0,0,0,0,0,0,0,0,0,0,1130,0,1130
20240211,989.08,280.922776,7.893939,4.353167,2799.788756,45.36,4017,50,5.078695,52.92,4017,65.782828,989.08,15.787879,4.353167,2799.788756,45.36,100,5.078695,52.92,65.782828,24,0,0,0,0,0,0,0,0,0,0,1042,0,1042
20240212,1006.83,281.240148,8.030303,4.316981,2852.450073,45.76,4158,50,5.016038,53.17,4158,66.919192,1006.83,16.060606,4.316981,2852.450073,45.76,100,5.016038,53.17,66.919192,24,0,0,0,0,0,0,0,0,0,0,1060,0,1060
20240213,944.757,281.949117,7.545455,4.502008,2681.78722,44.84,3879,50,5.144578,51.24,3879,62.878788,944.757,15.090909,4.502008,2681.78722,44.84,100,5.14488,51.243,62.878788,24,0,0,0,0,0,0,0,0,0,0,996,0,996
20240214,890.44,281.83706,7.128788,4.633369,2529.205776,43.6,3926,50,5.373007,50.56,3926,59.406566,890.44,14.257576,4.633369,2529.205776,43.6,100,5.373007,50.56,59.406566,24,0,0,0,0,0,0,0,0,0,0,941,0,941
20240215,693.59,285.563915,5.606061,5.140541,2004.544459,38.04,3543,50,6.271622,46.41,3543,46.717172,693.59,11.212121,5.140541,2004.544459,38.04,100,6.271622,46.41,46.717172,24,0,0,0,0,0,0,0,0,0,0,740,0,740
20240216,863.94,282.057761,6.916667,4.503834,2459.20521,41.12,3198,50,5.373494,49.06,3198,57.638889,863.94,13.833333,4.503834,2459.20521,41.12,100,5.373494,49.06,57.638889,24,0,0,0,0,0,0,0,0,0,0,913,0,913
20240217,999.97,281.396746,7.977273,4.383666,2833.215001,46.16,4130,50,5.036087,53.03,4130,66.477273,999.97,15.954545,4.383666,2833.215001,46.16,100,5.036087,53.03,66.477273,24,0,0,0,0,0,0,0,0,0,0,1053,0,1053
20240218,887.931,283.369984,7.106061,4.639659,2534.687833,43.52,3975,50,5.337953,50.07,3975,59.217172,887.931,14.212121,4.639659,2534.687833,43.52,100,5.337846,50.069,59.217172,24,0,0,0,0,0,0,0,0,0,0,938,0,938
20240219,1063.722,280.6002,8.484848,4.310714,3007.248466,48.28,4607,50,5.025,56.28,4607,70.707071,1063.722,16.969697,4.310714,3007.248466,48.28,100,5.024821,56.278,70.707071,24,0,0,0,0,0,0,0,0,0,0,1120,0,1120
20240220,1002.21,280.330024,8.060606,4.755639,2840.864466,50.6,4469,50,5.807331,61.79,4469,67.171717,1002.21,16.121212,4.755639,2840.864466,50.6,100,5.807331,61.79,67.171717,24,0,0,0,0,0,0,0,0,0,0,1064,0,1064
20240221,1259.18,282.964669,10.219697,4.744255,3636.095992,64,7993,63.645833,6.658265,89.82,7993,66.904726,1064,17.287879,4.844873,3006.7576,55.28,100,6.748466,77,72.032828,24,195.18,3.151515,4.192308,629.338392,8.72,27.291667,6.163462,12.82,48.114735,6.55,1141,208,1349
20240222,1938.42,283.265992,15.409091,4.53294,5500.459041,92.2,7340,100,4.699115,95.58,7340,64.204545,971.794853,15.439394,4.506379,2757.273536,45.92,100,4.632497,47.205147,64.330808,24,966.625147,15.378788,4.559606,2743.185505,46.28,100,4.765995,48.374853,64.078283,24,1019,1015,2034
20240223,2097.414,281.6136,16.659091,4.334698,5924.248989,95.32,7971,100,4.619827,101.59,7971,69.412879,1049.614543,16.666667,4.294545,2963.691624,47.24,100,4.580496,50.385457,69.444444,24,1047.799457,16.651515,4.374886,2960.557366,48.08,100,4.65883,51.200543,69.381313,24,1100,1099,2199
20240224,2152.26,281.316786,17.083333,4.317517,6069.803504,97.36,8583,100,4.556098,102.74,8583,71.180556,1075.39,17.075758,4.372671,3032.922417,49.28,100,4.579414,51.61,71.14899,24,1076.87,17.090909,4.262411,3036.881087,48.08,100,4.532801,51.13,71.212121,24,1127,1128,2255
20240225,2082.73,281.754601,16.545455,4.384615,5883.712283,95.76,9601,100,4.636905,101.27,9601,68.939394,1041.53,16.545455,4.40293,2942.426403,48.08,100,4.621795,50.47,68.939394,24,1041.2,16.545455,4.3663,2941.28588,47.68,100,4.652015,50.8,68.939394,24,1092,1092,2184
20240226,2084.05,281.678414,16.590909,4.555251,5887.754875,99.76,9051,100,4.8379,105.95,9051,69.128788,1044.06,16.621212,4.565178,2949.887124,50.08,100,4.825889,52.94,69.255051,24,1039.99,16.560606,4.545288,2937.867751,49.68,100,4.849954,53.01,69.002525,24,1097,1093,2190
20240227,2120.51,281.448192,16.863636,4.503145,5982.913079,100.24,9245,100,4.738994,105.49,9245,70.265152,1059.79,16.848485,4.507194,2989.985527,50.12,100,4.695144,52.21,70.20202,24,1060.72,16.878788,4.499102,2992.927552,50.12,100,4.782765,53.28,70.328283,24,1112,1114,2226
20240228,2143.02,281.299438,17.037879,4.514006,6040.849178,101.52,9903,100,4.712317,105.98,9903,70.991162,1072.1426,17.045455,4.529778,3020.11849,50.96,100,4.698436,52.8574,71.022727,24,1070.8773,17.030303,4.498221,3020.730688,50.56,100,4.726219,53.1227,70.959596,24,1125,1124,2249
20240229,2307.723,280.338988,18.340909,4.389922,6489.062621,106.28,10535,100,4.679058,113.28,10535,76.420455,1130.4603,17.969697,4.441821,3179.306548,52.68,100,4.682943,55.5397,74.873737,24,1177.2626,18.712121,4.340081,3309.756074,53.6,100,4.675093,57.7374,77.967172,24,1186,1235,2421
20240301,1980.75,282.711358,15.780303,4.658665,5614.534489,97.04,10555,100,4.908785,102.25,10555,65.751263,990.98,15.787879,4.637236,2808.635516,48.32,100,4.896353,51.02,65.782828,24,989.77,15.772727,4.680115,2805.898973,48.72,100,4.92123,51.23,65.719697,24,1042,1041,2083
20240302,2127.38,282.154467,16.931818,4.592394,6016.548982,102.64,10164,100,4.815213,107.62,10164,70.549242,1064.54,16.939394,4.59034,3010.199758,51.32,100,4.781753,53.46,70.580808,24,1062.84,16.924242,4.594449,3006.349224,51.32,100,4.848702,54.16,70.517677,24,1118,1117,2235
20240303,2173.18,280.797235,17.287879,4.497809,6119.582616,102.64,10827,100,4.768624,108.82,10827,72.032828,1081.48,17.212121,4.552817,3046.637308,51.72,100,4.799296,54.52,71.717172,24,1091.71,17.363636,4.443281,3072.945308,50.92,100,4.737347,54.29,72.348485,24,1136,1146,2282
20240304,2270.5,280.41141,18.05303,4.469996,6383.50967,106.52,10929,100,4.72094,112.5,10929,75.22096,1135.55,18.060606,4.516779,3190.554835,53.84,100,4.735738,56.45,75.252525,24,1134.95,18.045455,4.423174,3192.954835,52.68,100,4.706129,56.05,75.189394,24,1192,1191,2383
